night,trk_sub,linkage_id,detection_index,image_name,catalog_name,catalog_path,manifest_file_name,manifest_path,detection_key,final_paper_status,production_ades_start_mjd_utc,l2_manifest_start_mjd_utc,start_mjd_disagreement_s,manifest_exposure_s,exposure_s,exposure_source,midpoint_correction_s,corrected_midpoint_mjd_utc,corrected_midpoint_isot_utc,lin_speed_arcsec_per_day,link_linear_speed_arcsec_per_hour,link_speed_within_production_3_to_63_arcsec_per_hour,equivalent_shift_at_min_speed_arcsec,equivalent_shift_at_max_speed_arcsec,equivalent_shift_at_link_speed_arcsec
20251204,000009h,306,2,OBJ_MP_0969_0479.fits.gz,OBJ_MP_0969_0479_cat.fits.gz,/processed1/20251204/L2/OBJ_MP_0969_0479_cat.fits.gz,OBJ_MP_0969_0479_cat.fits.gz,/processed1/20251204/L2/OBJ_MP_0969_0479_cat.fits.gz,/processed1/20251204/L2/OBJ_MP_0969_0479_cat.fits.gz::5154,retained_after_posthoc_audit,61013.90126414352,61013.90126414352,0.0,30.002,30.002,l2_manifest,15.001,61013.9014377662,2025-12-04T21:38:04.223000,226.82736871619005,9.451140363174586,True,0.012500833333333333,0.2625175,0.03938237682999499
20251204,000009l,317,0,OBJ_MP_0965_0429.fits.gz,OBJ_MP_0965_0429_cat.fits.gz,/processed1/20251204/L2/OBJ_MP_0965_0429_cat.fits.gz,OBJ_MP_0965_0429_cat.fits.gz,/processed1/20251204/L2/OBJ_MP_0965_0429_cat.fits.gz,/processed1/20251204/L2/OBJ_MP_0965_0429_cat.fits.gz::17033,retained_after_posthoc_audit,61013.85040452546,61013.85040452546,0.0,30.003,30.003,l2_manifest,15.0015,61013.850578153935,2025-12-04T20:24:49.952500,936.0764111147316,39.00318379644715,True,0.01250125,0.26252625,0.16252951714511166
20251204,000009l,317,1,OBJ_MP_0965_0455.fits.gz,OBJ_MP_0965_0455_cat.fits.gz,/processed1/20251204/L2/OBJ_MP_0965_0455_cat.fits.gz,OBJ_MP_0965_0455_cat.fits.gz,/processed1/20251204/L2/OBJ_MP_0965_0455_cat.fits.gz,/processed1/20251204/L2/OBJ_MP_0965_0455_cat.fits.gz::15697,retained_after_posthoc_audit,61013.87695957176,61013.87695957176,0.0,30.003,30.003,l2_manifest,15.0015,61013.877133200236,2025-12-04T21:03:04.308500,936.0764111147316,39.00318379644715,True,0.01250125,0.26252625,0.16252951714511166
20251204,000009l,317,2,OBJ_MP_0965_0481.fits.gz,OBJ_MP_0965_0481_cat.fits.gz,/processed1/20251204/L2/OBJ_MP_0965_0481_cat.fits.gz,OBJ_MP_0965_0481_cat.fits.gz,/processed1/20251204/L2/OBJ_MP_0965_0481_cat.fits.gz,/processed1/20251204/L2/OBJ_MP_0965_0481_cat.fits.gz::13376,retained_after_posthoc_audit,61013.90339510416,61013.90339510416,0.0,30.003,30.003,l2_manifest,15.0015,61013.90356873263,2025-12-04T21:41:08.338499,936.0764111147316,39.00318379644715,True,0.01250125,0.26252625,0.16252951714511166
20251207,00000aG,298,0,OBJ_MP_1210_0048.fits.gz,OBJ_MP_1210_0048_cat.fits.gz,/processed1/20251207/L2/OBJ_MP_1210_0048_cat.fits.gz,OBJ_MP_1210_0048_cat.fits.gz,/processed1/20251207/L2/OBJ_MP_1210_0048_cat.fits.gz,/processed1/20251207/L2/OBJ_MP_1210_0048_cat.fits.gz::8657,retained_after_posthoc_audit,61016.43259336805,61016.43259336805,0.0,30.002,30.002,l2_manifest,15.001,61016.432766990736,2025-12-07T10:23:11.068000,522.0210291905761,21.750876216274005,True,0.012500833333333333,0.2625175,0.09063469281120176
20251207,00000aG,298,1,OBJ_MP_1210_0076.fits.gz,OBJ_MP_1210_0076_cat.fits.gz,/processed1/20251207/L2/OBJ_MP_1210_0076_cat.fits.gz,OBJ_MP_1210_0076_cat.fits.gz,/processed1/20251207/L2/OBJ_MP_1210_0076_cat.fits.gz,/processed1/20251207/L2/OBJ_MP_1210_0076_cat.fits.gz::9111,retained_after_posthoc_audit,61016.46225980325,61016.46225980325,0.0,30.003,30.003,l2_manifest,15.0015,61016.46243343173,2025-12-07T11:05:54.248501,522.0210291905761,21.750876216274005,True,0.01250125,0.26252625,0.09063771376623181
20251207,00000aG,298,2,OBJ_MP_1210_0104.fits.gz,OBJ_MP_1210_0104_cat.fits.gz,/processed1/20251207/L2/OBJ_MP_1210_0104_cat.fits.gz,OBJ_MP_1210_0104_cat.fits.gz,/processed1/20251207/L2/OBJ_MP_1210_0104_cat.fits.gz,/processed1/20251207/L2/OBJ_MP_1210_0104_cat.fits.gz::8837,retained_after_posthoc_audit,61016.489408368056,61016.489408368056,0.0,30.002,30.002,l2_manifest,15.001,61016.48958199074,2025-12-07T11:44:59.884000,522.0210291905761,21.750876216274005,True,0.012500833333333333,0.2625175,0.09063469281120176
20251207,00000bh,896,0,OBJ_MP_0276_0136.fits.gz,OBJ_MP_0276_0136_cat.fits.gz,/processed1/20251207/L2/OBJ_MP_0276_0136_cat.fits.gz,OBJ_MP_0276_0136_cat.fits.gz,/processed1/20251207/L2/OBJ_MP_0276_0136_cat.fits.gz,/processed1/20251207/L2/OBJ_MP_0276_0136_cat.fits.gz::9727,retained_after_posthoc_audit,61016.52087881944,61016.52087881944,0.0,30.002,30.002,l2_manifest,15.001,61016.52105244213,2025-12-07T12:30:18.931000,610.4726702628133,25.43636126095055,True,0.012500833333333333,0.2625175,0.10599190424319979
20251207,00000bh,896,1,OBJ_MP_0276_0165.fits.gz,OBJ_MP_0276_0165_cat.fits.gz,/processed1/20251207/L2/OBJ_MP_0276_0165_cat.fits.gz,OBJ_MP_0276_0165_cat.fits.gz,/processed1/20251207/L2/OBJ_MP_0276_0165_cat.fits.gz,/processed1/20251207/L2/OBJ_MP_0276_0165_cat.fits.gz::9736,retained_after_posthoc_audit,61016.5485206713,61016.5485206713,0.0,30.003,30.003,l2_manifest,15.0015,61016.548694299774,2025-12-07T13:10:07.187500,610.4726702628133,25.43636126095055,True,0.01250125,0.26252625,0.10599543707115269
20251207,00000bh,896,2,OBJ_MP_0276_0194.fits.gz,OBJ_MP_0276_0194_cat.fits.gz,/processed1/20251207/L2/OBJ_MP_0276_0194_cat.fits.gz,OBJ_MP_0276_0194_cat.fits.gz,/processed1/20251207/L2/OBJ_MP_0276_0194_cat.fits.gz,/processed1/20251207/L2/OBJ_MP_0276_0194_cat.fits.gz::9890,retained_after_posthoc_audit,61016.5778215625,61016.5778215625,0.0,30.003,30.003,l2_manifest,15.0015,61016.57799519098,2025-12-07T13:52:18.784501,610.4726702628133,25.43636126095055,True,0.01250125,0.26252625,0.10599543707115269
