night,product,provenance_path,provenance_basename,provenance_size_bytes,provenance_mtime_utc,source_row,source_file,trk_sub,linkage_id,n_tracklets,n_obs,fit_ok,is_good,rms_arcsec,med_arcsec,max_arcsec,a_au,ecc,inc_deg,raan_deg,argp_deg,nu_deg,best_v1_kms,lin_rms_arcsec,lin_speed_arcsec_per_day,lin_dir_deg,tracklet_ids,image_names,objids,mjds,ras_deg,decs_deg,groups,exp_pairs,review_member_rows,unique_detection_n,first_mjd,median_mjd,last_mjd,median_ra_deg,median_dec_deg,median_mag_aper4,median_mag_psf,median_x_px,median_y_px,time_span_hours,speed_arcsec_per_hour,final_paper_status,initial_human_selected,posthoc_retained,ecliptic_lon_j2000_deg,ecliptic_lat_j2000_deg,solar_elongation_deg,astronomical_dusk_mjd,astronomical_dawn_mjd,hours_after_astronomical_dusk,hours_before_astronomical_dawn,nearest_astronomical_twilight,nearest_twilight_abs_hours,nearest_twilight_signed_hours
20251116,unknown_catalog,/processed1/20251116/L4/20251116_unknown_links.fits,20251116_unknown_links.fits,14400,2026-06-19T19:46:46.688212+00:00,10,OBJ_MP_1757_0257.fits.gz;OBJ_MP_1757_0277.fits.gz;OBJ_MP_1757_0297.fits.gz,000000b,377,2,3,True,True,0.6507949080025462,0.0,1.1272098459675235,-1.4267774909265272,3.873608544231926,38.79983536183188,12.072856539516808,69.37232606868773,0.0047832259108619175,32.47330622246762,0.5272601423299731,390.1625843389025,59.55981938990868,20251116008400010047;20251116008401020069,OBJ_MP_1757_0257.fits.gz;OBJ_MP_1757_0277.fits.gz;OBJ_MP_1757_0297.fits.gz,58626;55426;74771,60995.76225194;60995.78004781;60995.79875231,85.17562502;85.17677575;85.17823340,39.84395551;39.84531944;39.84736117,83;83;83,0->1;0->1;1->2,3,3,60995.76207833333,60995.77987420139,60995.7985787037,85.17677574972684,39.84531943673162,16.732200622558594,16.68735122680664,5532.485525275251,8310.827719643034,0.8760088888811879,16.25677434745427,,False,False,86.14586783429091,16.471047397000742,144.55027998795958,60995.434908962154,60995.89109018212,8.279165741696488,2.669183537538629,dawn,2.669183537538629,-2.669183537538629
20251118,unknown_catalog,/processed1/20251118/L4/20251118_unknown_links.fits,20251118_unknown_links.fits,40320,2026-06-19T19:49:58.342552+00:00,0,OBJ_MP_1601_0025.fits.gz;OBJ_MP_1601_0041.fits.gz;OBJ_MP_1601_0057.fits.gz,000000c,24,2,3,True,True,0.4838269491050783,0.003073585126505738,0.8380072213981538,-1.2917789907459802,3.5546165495352917,35.96927369527084,351.29954328384645,32.924744668626744,0.005507481662864441,34.99145929751498,0.39268750418674075,566.0761418323061,35.992399886134386,20251118000900010005;20251118000901020059,OBJ_MP_1601_0025.fits.gz;OBJ_MP_1601_0041.fits.gz;OBJ_MP_1601_0057.fits.gz,2799;2886;2842,60997.43287887;60997.44881017;60997.46427123,6.26616680;6.26804411;6.27033981,16.73730090;16.73875028;16.74020205,8;8;8,0->1;0->1;1->2,3,3,60997.43270525463,60997.4486365625,60997.46409761574,6.268044108720115,16.738750284373904,18.73240089416504,18.921661376953125,1158.7855450730983,1970.1947410850073,0.7534166666446254,23.58650590967942,,False,False,12.46907997387804,12.866206973704049,134.99258526061234,60997.43410066844,60997.89245743276,0.3488614573725499,10.651700886315666,dusk,0.3488614573725499,0.3488614573725499
20251118,unknown_catalog,/processed1/20251118/L4/20251118_unknown_links.fits,20251118_unknown_links.fits,40320,2026-06-19T19:49:58.342552+00:00,1,OBJ_MP_1601_0025.fits.gz;OBJ_MP_1601_0041.fits.gz;OBJ_MP_1601_0057.fits.gz,000000d,26,2,3,True,True,0.2890041826425056,0.0,0.5005699279367352,-1.1660592385577104,4.516116381255381,58.149425710405154,4.526057785872746,22.940133242927892,0.004376621486186591,34.547601118296086,0.23407241768231735,582.8592211802971,93.88803356697689,20251118000900010026;20251118000901020076,OBJ_MP_1601_0025.fits.gz;OBJ_MP_1601_0041.fits.gz;OBJ_MP_1601_0057.fits.gz,6860;7086;7019,60997.43287887;60997.44881017;60997.46427123,7.01289616;7.01257271;7.01253512,18.03168379;18.03422208;18.03675503,8;8;8,0->1;0->1;1->2,3,3,60997.43270525463,60997.4486365625,60997.46409761574,7.012572707798456,18.0342220793864,18.666790008544922,19.04982566833496,5174.481456819947,4224.989094748446,0.7534166666446254,24.28580088251238,,False,False,13.676957938473873,13.761702785149883,135.91797663343004,60997.43410066844,60997.89245743276,0.3488614573725499,10.651700886315666,dusk,0.3488614573725499,0.3488614573725499
20251118,unknown_catalog,/processed1/20251118/L4/20251118_unknown_links.fits,20251118_unknown_links.fits,40320,2026-06-19T19:49:58.342552+00:00,2,OBJ_MP_1601_0025.fits.gz;OBJ_MP_1601_0041.fits.gz;OBJ_MP_1601_0057.fits.gz,000000e,29,2,3,True,True,0.461843028056276,0.0,0.7999355897149285,-2.3002812402033856,2.0868236214489784,35.17720338335516,351.922828257812,37.59095000014632,0.006876128147512739,33.096267489289005,0.3727270804259167,635.0539796644879,34.315987415599274,20251118000900010033;20251118000901020085,OBJ_MP_1601_0025.fits.gz;OBJ_MP_1601_0041.fits.gz;OBJ_MP_1601_0057.fits.gz,8813;9115;9043,60997.43287887;60997.44881017;60997.46427123,7.33867843;7.34095109;7.34352037,19.09152261;19.09297415;19.09464588,8;8;8,0->1;0->1;1->2,3,3,60997.43270525463,60997.4486365625,60997.46409761574,7.3409510912851,19.092974148959073,18.033788681030273,18.129390716552734,8467.83362246252,5218.3081121670975,0.7534166666446254,26.46058248602033,,False,False,14.414839325424532,14.602130217420195,136.3869352823833,60997.43410066844,60997.89245743276,0.3488614573725499,10.651700886315666,dusk,0.3488614573725499,0.3488614573725499
20251118,unknown_catalog,/processed1/20251118/L4/20251118_unknown_links.fits,20251118_unknown_links.fits,40320,2026-06-19T19:49:58.342552+00:00,3,OBJ_MP_1602_0026.fits.gz;OBJ_MP_1602_0042.fits.gz;OBJ_MP_1602_0058.fits.gz,000000f,40,2,3,True,True,0.3798251554887526,0.003073585126505738,0.6578692873973031,1.5371485784451222,0.15427824290931424,26.73185329951086,356.2592669283482,49.14547147621275,0.011213900615849853,28.065752607875844,0.3157742962137815,391.5136528172944,358.5622460970095,20251118001000010016;20251118001001020036,OBJ_MP_1602_0026.fits.gz;OBJ_MP_1602_0042.fits.gz;OBJ_MP_1602_0058.fits.gz,16136;14463;16483,60997.43368325;60997.44960470;60997.46507694,11.06182951;11.06378199;11.06541556,17.92975527;17.92957677;17.92967090,9;9;9,0->1;0->1;1->2,3,3,60997.4335096412,60997.44943108796,60997.46490333333,11.063781992477743,17.929670901773218,15.57852554321289,19.55013084411621,1452.0009612714668,8539.998560283962,0.75344861112535,16.31306886738727,,False,False,17.252575167747935,12.11296860436707,139.7058320060365,60997.43410066844,60997.89245743276,0.36793006845982745,10.632632275228389,dusk,0.36793006845982745,0.36793006845982745
20251118,unknown_catalog,/processed1/20251118/L4/20251118_unknown_links.fits,20251118_unknown_links.fits,40320,2026-06-19T19:49:58.342552+00:00,4,OBJ_MP_1334_0033.fits.gz;OBJ_MP_1334_0049.fits.gz;OBJ_MP_1334_0065.fits.gz,000000g,106,2,3,True,True,0.39895482238305896,0.0,0.6910100222920753,1.4089024700665327,0.07729596196334561,27.521513914915797,0.25039247423815697,42.96021308227624,0.010841428543603699,27.113710459516145,0.3325546065727587,525.8242899662902,40.32602928424194,20251118001700010002;20251118001701020023,OBJ_MP_1334_0033.fits.gz;OBJ_MP_1334_0049.fits.gz;OBJ_MP_1334_0065.fits.gz,1221;1065;1184,60997.43984359;60997.45579799;60997.47126024,5.48434147;5.48616506;5.48791619,11.86711274;11.86881555;11.87008026,16;16;16,0->1;0->1;1->2,3,3,60997.439669976855,60997.455624375,60997.471086631944,5.486165060981007,11.86881554604554,18.31155014038086,18.575658798217773,4886.34596506564,1111.8943632244634,0.7539997221319936,21.90934541526209,,False,False,9.76506303798767,8.713772845208984,133.14632614794903,60997.43410066844,60997.89245743276,0.516568957362324,10.483993386325892,dusk,0.516568957362324,0.516568957362324
20251118,unknown_catalog,/processed1/20251118/L4/20251118_unknown_links.fits,20251118_unknown_links.fits,40320,2026-06-19T19:49:58.342552+00:00,5,OBJ_MP_1334_0033.fits.gz;OBJ_MP_1334_0049.fits.gz;OBJ_MP_1334_0065.fits.gz,000000h,107,2,3,True,True,0.47452478118142205,0.003073585126505738,0.8218952834396238,1.4261592454026129,0.08846084174701106,27.52515415862413,0.25930503796812526,42.95366622147325,0.010897463229020703,27.25384883699491,0.3925017719915518,560.2570051523946,39.95934029685738,20251118001700010005;20251118001701020026,OBJ_MP_1334_0033.fits.gz;OBJ_MP_1334_0049.fits.gz;OBJ_MP_1334_0065.fits.gz,1241;1082;1202,60997.43984359;60997.45579799;60997.47126024,5.48816726;5.49009178;5.49199698,11.86752215;11.86934601;11.87065985,16;16;16,0->1;0->1;1->2,3,3,60997.439669976855,60997.455624375,60997.471086631944,5.490091780799826,11.869346011714548,18.544239044189453,18.520435333251953,4887.864798600197,1123.9011883432936,0.7539997221319936,23.344041881349778,,False,False,9.768840486235742,8.71271946780263,133.1501725199246,60997.43410066844,60997.89245743276,0.516568957362324,10.483993386325892,dusk,0.516568957362324,0.516568957362324
20251118,unknown_catalog,/processed1/20251118/L4/20251118_unknown_links.fits,20251118_unknown_links.fits,40320,2026-06-19T19:49:58.342552+00:00,6,OBJ_MP_1334_0033.fits.gz;OBJ_MP_1334_0049.fits.gz;OBJ_MP_1334_0065.fits.gz,000000i,112,2,3,True,True,0.5444353812906753,0.0,0.9429897418335836,1.4590131417498626,0.10898677986789687,27.118019680945725,0.6482608756251594,43.196237285051126,0.010999733946584945,27.509621968646524,0.45705353951202865,543.5750789208876,43.6768681154082,20251118001700010015;20251118001701020044,OBJ_MP_1334_0033.fits.gz;OBJ_MP_1334_0049.fits.gz;OBJ_MP_1334_0065.fits.gz,11409;10058;11143,60997.43984359;60997.45579799;60997.47126024,7.50035550;7.50225683;7.50385619,11.56532924;11.56723220;11.56860268,16;16;16,0->1;0->1;1->2,3,3,60997.439669976855,60997.455624375,60997.471086631944,7.5022568305302215,11.567232196057292,18.227388381958008,18.69779396057129,3899.986612020475,7255.522605988848,0.7539997221319936,22.64896162170365,,False,False,11.4721061011003,7.648972154896109,134.96760250472687,60997.43410066844,60997.89245743276,0.516568957362324,10.483993386325892,dusk,0.516568957362324,0.516568957362324
20251118,unknown_catalog,/processed1/20251118/L4/20251118_unknown_links.fits,20251118_unknown_links.fits,40320,2026-06-19T19:49:58.342552+00:00,7,OBJ_MP_1336_0034.fits.gz;OBJ_MP_1336_0050.fits.gz;OBJ_MP_1336_0066.fits.gz,000000j,118,2,3,True,True,0.5529464212516687,0.0,0.9577312954712734,1.682685789351454,0.22742558158206802,27.362953104200653,0.5895288357197993,44.49654993459582,0.011570682582528352,28.941365833484333,0.47043773806156214,736.3613917989662,42.83084125279857,20251118001800010004;20251118001801020040,OBJ_MP_1336_0034.fits.gz;OBJ_MP_1336_0050.fits.gz;OBJ_MP_1336_0066.fits.gz,408;367;405,60997.44071183;60997.45666293;60997.47212432,10.33689308;10.33963852;10.34174657,14.00264182;14.00491051;14.00700941,17;17;17,0->1;0->1;1->2,3,3,60997.44053821759,60997.45648931713,60997.47195070602,10.33963851991363,14.004910505514996,18.729753494262695,18.791677474975586,4936.905648071924,563.0820541057133,0.7538997223600745,30.68172465829026,,False,False,15.016090954990453,8.787976938599202,138.25805970804078,60997.43410066844,60997.89245743276,0.5373275684542023,10.463234775234014,dusk,0.5373275684542023,0.5373275684542023
20251118,unknown_catalog,/processed1/20251118/L4/20251118_unknown_links.fits,20251118_unknown_links.fits,40320,2026-06-19T19:49:58.342552+00:00,8,OBJ_MP_1336_0034.fits.gz;OBJ_MP_1336_0050.fits.gz;OBJ_MP_1336_0066.fits.gz,000000k,119,2,3,True,True,0.28258045319680836,0.0,0.4894437021627112,1.6291285925426913,0.20202738961947628,27.400986806570714,0.1032923645313734,45.12144822559774,0.011450345237335804,28.64036969553162,0.24466037810677738,617.6735184879624,41.74782232685244,20251118001800010006;20251118001801020041,OBJ_MP_1336_0034.fits.gz;OBJ_MP_1336_0050.fits.gz;OBJ_MP_1336_0066.fits.gz,1424;1303;1464,60997.44071183;60997.45666293;60997.47212432,10.54653809;10.54879158;10.55069690,14.86003645;14.86181389;14.86362562,17;17;17,0->1;0->1;1->2,3,3,60997.44053821759,60997.45648931713,60997.47195070602,10.548791577186647,14.861813885132545,17.50977325439453,17.511560440063477,7600.396336263446,1227.742664404881,0.7538997223600745,25.7363966036651,,False,False,15.548402796074674,9.494562737685953,138.64648440152015,60997.43410066844,60997.89245743276,0.5373275684542023,10.463234775234014,dusk,0.5373275684542023,0.5373275684542023
