night,provenance_path,provenance_row,trk_sub,linkage_id,detection_index,image_name,catalog_name,obj_id,source_tracklet_ids,link_tracklet_ids,groups,exp_pairs,mjd,ra_win_deg,dec_win_deg,ra_psf_deg,dec_psf_deg,ra_err_deg,dec_err_deg,x_win_px,y_win_px,mag_aper4,magerr_aper4,mag_psf,magerr_psf,flag,n_obs,n_tracklets,rms_arcsec,med_arcsec,max_arcsec,a_au,ecc,inc_deg,best_v1_kms,lin_rms_arcsec,lin_speed_arcsec_per_day,lin_dir_deg,detection_key,linkage_detection_key,final_paper_status
20251125,/home/admin/pipeline/xiaoyunao/heliolincrr/review_packages/20251125/20251125_unknown_review_full.fits,28,000006S,132,1,OBJ_MP_0786_0080.fits.gz,OBJ_MP_0786_0080_cat.fits.gz,5954,20251125002300010038;20251125002301020089,20251125002300010038;20251125002301020089,22,0->1;1->2,61004.45999814815,350.4287540182994,-8.854001174370154,350.4287329153443,-8.853907086919582,0.00015059159028396607,0.0001488829414491022,7332.696173955217,4254.507336151472,18.032230377197266,0.09259377419948578,18.14318084716797,0.08628005534410477,0,3,2,0.8722503903425757,0.0,1.5107819929951267,1.5646742283662995,0.8534209613117614,85.27892941629035,6.69622536819895,0.7099873402043746,448.39374143331526,142.2006615619101,20251125::OBJ_MP_0786_0080.fits.gz::5954,20251125::132::20251125::OBJ_MP_0786_0080.fits.gz::5954,retained_after_posthoc_audit
20251125,/home/admin/pipeline/xiaoyunao/heliolincrr/review_packages/20251125/20251125_unknown_review_full.fits,29,000006S,132,2,OBJ_MP_0786_0108.fits.gz,OBJ_MP_0786_0108_cat.fits.gz,5551,20251125002301020089,20251125002300010038;20251125002301020089,22,1->2,61004.48880881944,350.4254905213844,-8.851647915969252,350.4254614586617,-8.851540257818812,0.00019513744467758443,0.00019308741573631494,7335.0239182694995,4247.33869244297,18.173261642456055,0.10949740558862686,18.238977432250977,0.10277009010314941,0,3,2,0.8722503903425757,0.0,1.5107819929951267,1.5646742283662995,0.8534209613117614,85.27892941629035,6.69622536819895,0.7099873402043746,448.39374143331526,142.2006615619101,20251125::OBJ_MP_0786_0108.fits.gz::5551,20251125::132::20251125::OBJ_MP_0786_0108.fits.gz::5551,retained_after_posthoc_audit
20251203,/home/admin/pipeline/xiaoyunao/heliolincrr/review_packages/20251203/20251203_unknown_review_full.fits,144,000008u,343,0,OBJ_MP_0969_0322.fits.gz,OBJ_MP_0969_0322_cat.fits.gz,6663,20251203011800010003,20251203011800010003;20251203011801020014,117,0->1,61012.724925347226,117.63044696946466,20.889454481452276,117.63045950677598,20.889432948638525,0.00014657735607670475,0.0001368675348096815,4098.651983904491,2616.365192587094,17.88851547241211,0.1354106217622757,17.79090118408203,0.10132678598165512,0,3,2,0.2655821812194292,0.0,0.4600018314570163,1.2204301524939027,0.06519820244920516,23.433084661810078,25.25696768433281,0.28026956253229307,221.49257893614686,163.03814621778065,20251203::OBJ_MP_0969_0322.fits.gz::6663,20251203::343::20251203::OBJ_MP_0969_0322.fits.gz::6663,retained_after_posthoc_audit
20251203,/home/admin/pipeline/xiaoyunao/heliolincrr/review_packages/20251203/20251203_unknown_review_full.fits,145,000008u,343,1,OBJ_MP_0969_0348.fits.gz,OBJ_MP_0969_0348_cat.fits.gz,7122,20251203011800010003;20251203011801020014,20251203011800010003;20251203011801020014,117,0->1;1->2,61012.75381357639,117.62875037003015,20.890090630635573,117.62874339402441,20.890043399000554,0.00015511391539746455,0.00014465770515315057,4095.366277073692,2603.8837698668644,17.774917602539062,0.11013524234294891,17.823444366455078,0.09275475144386292,0,3,2,0.2655821812194292,0.0,0.4600018314570163,1.2204301524939027,0.06519820244920516,23.433084661810078,25.25696768433281,0.28026956253229307,221.49257893614686,163.03814621778065,20251203::OBJ_MP_0969_0348.fits.gz::7122,20251203::343::20251203::OBJ_MP_0969_0348.fits.gz::7122,retained_after_posthoc_audit
20251203,/home/admin/pipeline/xiaoyunao/heliolincrr/review_packages/20251203/20251203_unknown_review_full.fits,146,000008u,343,2,OBJ_MP_0969_0374.fits.gz,OBJ_MP_0969_0374_cat.fits.gz,7354,20251203011801020014,20251203011800010003;20251203011801020014,117,1->2,61012.78201756944,117.62684975291418,20.890478297682066,117.62686251281895,20.89044986371327,0.00012805406515781215,0.00011971097429253064,4091.6775522073995,2592.977615333659,17.731657028198242,0.09803064167499542,17.736608505249023,0.07648427039384842,0,3,2,0.2655821812194292,0.0,0.4600018314570163,1.2204301524939027,0.06519820244920516,23.433084661810078,25.25696768433281,0.28026956253229307,221.49257893614686,163.03814621778065,20251203::OBJ_MP_0969_0374.fits.gz::7354,20251203::343::20251203::OBJ_MP_0969_0374.fits.gz::7354,retained_after_posthoc_audit
20251204,/home/admin/pipeline/xiaoyunao/heliolincrr/review_packages/20251204/20251204_unknown_review_full.fits,42,0000098,274,0,OBJ_MP_0968_0423.fits.gz,OBJ_MP_0968_0423_cat.fits.gz,9934,20251204014800010003,20251204014800010003;20251204014801020147,147,0->1,61013.84428979167,114.92420685942336,21.42643001051948,114.92419002376641,21.42641337079793,7.729079591456411e-05,7.203084567919404e-05,4248.758295270016,2889.108114845175,17.204486846923828,0.06928965449333191,17.210651397705078,0.04943950101733208,0,3,2,0.03319851369894478,0.0,0.05750151246234375,5.831336748206895,0.29690220695544806,22.753958328705142,16.751542389748227,0.025767316068528043,252.4466137811889,161.9380474042935,20251204::OBJ_MP_0968_0423.fits.gz::9934,20251204::274::20251204::OBJ_MP_0968_0423.fits.gz::9934,retained_after_posthoc_audit
20251204,/home/admin/pipeline/xiaoyunao/heliolincrr/review_packages/20251204/20251204_unknown_review_full.fits,43,0000098,274,1,OBJ_MP_0968_0449.fits.gz,OBJ_MP_0968_0449_cat.fits.gz,9026,20251204014800010003;20251204014801020147,20251204014800010003;20251204014801020147,147,0->1;1->2,61013.87085726852,114.92231621326913,21.427017819861742,114.92233145233645,21.42700539855436,0.00010080123365696636,9.376217009915422e-05,4247.407591378727,2888.1107994042727,17.224042892456055,0.0763317123055458,17.20485496520996,0.05904068797826767,0,3,2,0.03319851369894478,0.0,0.05750151246234375,5.831336748206895,0.29690220695544806,22.753958328705142,16.751542389748227,0.025767316068528043,252.4466137811889,161.9380474042935,20251204::OBJ_MP_0968_0449.fits.gz::9026,20251204::274::20251204::OBJ_MP_0968_0449.fits.gz::9026,retained_after_posthoc_audit
20251204,/home/admin/pipeline/xiaoyunao/heliolincrr/review_packages/20251204/20251204_unknown_review_full.fits,44,0000098,274,2,OBJ_MP_0968_0475.fits.gz,OBJ_MP_0968_0475_cat.fits.gz,8460,20251204014801020147,20251204014800010003;20251204014801020147,147,1->2,61013.89730413195,114.92041003473943,21.42758261300348,114.92038645142803,21.427607941278385,0.0001468620596654091,0.0001367354869366011,4247.328290011506,2885.9725090438915,17.325071334838867,0.09192762523889542,17.221691131591797,0.06865033507347107,0,3,2,0.03319851369894478,0.0,0.05750151246234375,5.831336748206895,0.29690220695544806,22.753958328705142,16.751542389748227,0.025767316068528043,252.4466137811889,161.9380474042935,20251204::OBJ_MP_0968_0475.fits.gz::8460,20251204::274::20251204::OBJ_MP_0968_0475.fits.gz::8460,retained_after_posthoc_audit
20251204,/home/admin/pipeline/xiaoyunao/heliolincrr/review_packages/20251204/20251204_unknown_review_full.fits,69,000009h,306,0,OBJ_MP_0969_0427.fits.gz,OBJ_MP_0969_0427_cat.fits.gz,6498,20251204015200010004,20251204015200010004;20251204015201020018,151,0->1,61013.84825501157,117.56009675642889,20.908661639387063,117.56009944338034,20.908689422300732,0.0001424597099486391,0.00013324318980068028,4134.288599458907,2366.051408771412,17.686647415161133,0.10235285758972168,17.666749954223633,0.07551711052656174,0,3,2,0.3016814222899489,0.0,0.5225275511058335,5.499622340117905,0.2544942643573347,22.8643491983179,16.47538325353662,0.24545353293920444,226.82736871619005,165.5232165683426,20251204::OBJ_MP_0969_0427.fits.gz::6498,20251204::306::20251204::OBJ_MP_0969_0427.fits.gz::6498,retained_after_posthoc_audit
20251204,/home/admin/pipeline/xiaoyunao/heliolincrr/review_packages/20251204/20251204_unknown_review_full.fits,70,000009h,306,1,OBJ_MP_0969_0453.fits.gz,OBJ_MP_0969_0453_cat.fits.gz,6223,20251204015200010004;20251204015201020018,20251204015200010004;20251204015201020018,151,0->1;1->2,61013.87480642361,117.55827661534876,20.908959766245587,117.5582721300226,20.90892051844796,0.00012989645355787616,0.00012148029294323237,4132.425214334464,2365.242403001558,17.648366928100586,0.10364296287298203,17.684572219848633,0.0854632630944252,0,3,2,0.3016814222899489,0.0,0.5225275511058335,5.499622340117905,0.2544942643573347,22.8643491983179,16.47538325353662,0.24545353293920444,226.82736871619005,165.5232165683426,20251204::OBJ_MP_0969_0453.fits.gz::6223,20251204::306::20251204::OBJ_MP_0969_0453.fits.gz::6223,retained_after_posthoc_audit
20251204,/home/admin/pipeline/xiaoyunao/heliolincrr/review_packages/20251204/20251204_unknown_review_full.fits,71,000009h,306,2,OBJ_MP_0969_0479.fits.gz,OBJ_MP_0969_0479_cat.fits.gz,5154,20251204015201020018,20251204015200010004;20251204015201020018,151,1->2,61013.90126414352,117.55663495463199,20.909496734416347,117.55660837184556,20.90946973031416,0.00021133302693954192,0.00019741778888260342,4131.442660619109,2364.6798082084497,17.60613250732422,0.120860256254673,17.600263595581055,0.10658202320337296,0,3,2,0.3016814222899489,0.0,0.5225275511058335,5.499622340117905,0.2544942643573347,22.8643491983179,16.47538325353662,0.24545353293920444,226.82736871619005,165.5232165683426,20251204::OBJ_MP_0969_0479.fits.gz::5154,20251204::306::20251204::OBJ_MP_0969_0479.fits.gz::5154,retained_after_posthoc_audit
20251204,/home/admin/pipeline/xiaoyunao/heliolincrr/review_packages/20251204/20251204_unknown_review_full.fits,81,000009l,317,0,OBJ_MP_0965_0429.fits.gz,OBJ_MP_0965_0429_cat.fits.gz,17033,20251204015400010003,20251204015400010003;20251204015401020014,153,0->1,61013.85040452546,106.44173328206872,24.000053971820023,106.44168137115267,24.00000325052566,0.0001782770009555179,0.00016304068171990593,8659.029536234666,3241.9080703658683,17.83401107788086,0.1429681032896042,17.909395217895508,0.12466351687908173,0,3,2,0.44241479411718676,0.0,0.766284901431092,1.2271145937058452,0.05939576492561401,23.669061667767146,25.335233067425623,0.43879910832333785,936.0764111147316,183.58822137494087,20251204::OBJ_MP_0965_0429.fits.gz::17033,20251204::317::20251204::OBJ_MP_0965_0429.fits.gz::17033,retained_after_posthoc_audit
20251204,/home/admin/pipeline/xiaoyunao/heliolincrr/review_packages/20251204/20251204_unknown_review_full.fits,82,000009l,317,1,OBJ_MP_0965_0455.fits.gz,OBJ_MP_0965_0455_cat.fits.gz,15697,20251204015400010003;20251204015401020014,20251204015400010003;20251204015401020014,153,0->1;1->2,61013.87695957176,106.43396364049946,23.999776979073282,106.43415602722706,23.99952764208684,0.00018465533563016834,0.00016858312569922873,8658.153188049746,3230.150479726857,17.791540145874023,0.1492120772600174,17.998788833618164,0.15074625611305237,0,3,2,0.44241479411718676,0.0,0.766284901431092,1.2271145937058452,0.05939576492561401,23.669061667767146,25.335233067425623,0.43879910832333785,936.0764111147316,183.58822137494087,20251204::OBJ_MP_0965_0455.fits.gz::15697,20251204::317::20251204::OBJ_MP_0965_0455.fits.gz::15697,retained_after_posthoc_audit
20251204,/home/admin/pipeline/xiaoyunao/heliolincrr/review_packages/20251204/20251204_unknown_review_full.fits,83,000009l,317,2,OBJ_MP_0965_0481.fits.gz,OBJ_MP_0965_0481_cat.fits.gz,13376,20251204015401020014,20251204015400010003;20251204015401020014,153,1->2,61013.903395104164,106.42668059050062,23.99919139517742,106.42669150720039,23.999090575279318,0.00020291712210962487,0.0001855522196478887,8656.837816764764,3218.647256591171,17.924638748168945,0.1953001320362091,17.62779998779297,0.14107248187065125,0,3,2,0.44241479411718676,0.0,0.766284901431092,1.2271145937058452,0.05939576492561401,23.669061667767146,25.335233067425623,0.43879910832333785,936.0764111147316,183.58822137494087,20251204::OBJ_MP_0965_0481.fits.gz::13376,20251204::317::20251204::OBJ_MP_0965_0481.fits.gz::13376,retained_after_posthoc_audit
20251207,/home/admin/pipeline/xiaoyunao/heliolincrr/review_packages/20251207/20251207_unknown_review_full.fits,51,00000aG,298,0,OBJ_MP_1210_0048.fits.gz,OBJ_MP_1210_0048_cat.fits.gz,8657,20251207001500010019,20251207001500010019;20251207001501020048,14,0->1,61016.43259336805,35.003678830966855,19.829214434393226,35.00368210192759,19.829214735356132,1.6827661596607868e-05,1.5893129514665816e-05,5036.974904339845,5671.784833666368,15.891502380371094,0.012878834269940853,15.921157836914062,0.01126570999622345,0,3,2,0.028558441322069326,0.0,0.049464671354798574,3.6654178984606878,0.1185627708545725,23.06083460365217,13.81010183375071,0.022714315462501355,522.0210291905761,230.46766836849613,20251207::OBJ_MP_1210_0048.fits.gz::8657,20251207::298::20251207::OBJ_MP_1210_0048.fits.gz::8657,retained_after_posthoc_audit
20251207,/home/admin/pipeline/xiaoyunao/heliolincrr/review_packages/20251207/20251207_unknown_review_full.fits,52,00000aG,298,1,OBJ_MP_1210_0076.fits.gz,OBJ_MP_1210_0076_cat.fits.gz,9111,20251207001500010019;20251207001501020048,20251207001500010019;20251207001501020048,14,0->1;1->2,61016.462259803244,35.00076238193964,19.825908614221383,35.00076490100335,19.825905828967503,1.8448229099021773e-05,1.7517655216181538e-05,5021.120751667171,5651.504026046064,16.180500030517578,0.01569562777876854,16.179157257080078,0.013173718005418777,0,3,2,0.028558441322069326,0.0,0.049464671354798574,3.6654178984606878,0.1185627708545725,23.06083460365217,13.81010183375071,0.022714315462501355,522.0210291905761,230.46766836849613,20251207::OBJ_MP_1210_0076.fits.gz::9111,20251207::298::20251207::OBJ_MP_1210_0076.fits.gz::9111,retained_after_posthoc_audit
20251207,/home/admin/pipeline/xiaoyunao/heliolincrr/review_packages/20251207/20251207_unknown_review_full.fits,53,00000aG,298,2,OBJ_MP_1210_0104.fits.gz,OBJ_MP_1210_0104_cat.fits.gz,8837,20251207001501020048,20251207001500010019;20251207001501020048,14,1->2,61016.489408368056,34.9981046754669,19.822859997755355,34.99810408604363,19.822860595741435,1.6217705017140815e-05,1.5403284919557336e-05,5007.085994160083,5632.972698363933,16.027873992919922,0.01480274647474289,16.053089141845703,0.012096370570361614,0,3,2,0.028558441322069326,0.0,0.049464671354798574,3.6654178984606878,0.1185627708545725,23.06083460365217,13.81010183375071,0.022714315462501355,522.0210291905761,230.46766836849613,20251207::OBJ_MP_1210_0104.fits.gz::8837,20251207::298::20251207::OBJ_MP_1210_0104.fits.gz::8837,retained_after_posthoc_audit
20251207,/home/admin/pipeline/xiaoyunao/heliolincrr/review_packages/20251207/20251207_unknown_review_full.fits,162,00000bh,896,0,OBJ_MP_0276_0136.fits.gz,OBJ_MP_0276_0136_cat.fits.gz,9727,20251207004600010020,20251207004600010020;20251207004601020044,45,0->1,61016.52087881944,48.84832786490222,3.174538980842458,48.84830816774939,3.1742677910208976,0.0001690411203796316,0.00016901586211170994,1651.9557745470938,7442.173683979518,17.89181900024414,0.08604011684656143,18.14187240600586,0.07602661848068237,0,3,2,0.675748503023798,0.003073585126505738,1.1704267047069552,1.4157145024535016,0.08173576526453058,19.643606341389265,27.16952413246923,0.5846614120191747,610.4726702628133,162.797778902172,20251207::OBJ_MP_0276_0136.fits.gz::9727,20251207::896::20251207::OBJ_MP_0276_0136.fits.gz::9727,retained_after_posthoc_audit
20251207,/home/admin/pipeline/xiaoyunao/heliolincrr/review_packages/20251207/20251207_unknown_review_full.fits,163,00000bh,896,1,OBJ_MP_0276_0165.fits.gz,OBJ_MP_0276_0165_cat.fits.gz,9736,20251207004600010020;20251207004601020044,20251207004600010020;20251207004601020044,45,0->1;1->2,61016.5485206713,48.84417910724284,3.176017626942899,48.84396475059707,3.1757921007172545,0.00017318977741354047,0.00017326010068074993,1650.339655713444,7427.288097404698,17.84528350830078,0.08129515498876572,18.266599655151367,0.08575046807527542,0,3,2,0.675748503023798,0.003073585126505738,1.1704267047069552,1.4157145024535016,0.08173576526453058,19.643606341389265,27.16952413246923,0.5846614120191747,610.4726702628133,162.797778902172,20251207::OBJ_MP_0276_0165.fits.gz::9736,20251207::896::20251207::OBJ_MP_0276_0165.fits.gz::9736,retained_after_posthoc_audit
20251207,/home/admin/pipeline/xiaoyunao/heliolincrr/review_packages/20251207/20251207_unknown_review_full.fits,164,00000bh,896,2,OBJ_MP_0276_0194.fits.gz,OBJ_MP_0276_0194_cat.fits.gz,9890,20251207004601020044,20251207004600010020;20251207004601020044,45,1->2,61016.5778215625,48.839095975620936,3.1773965042317296,48.83906506727506,3.177351697109366,0.00014252464183783786,0.00014251806531762057,1649.5032777330448,7409.067066531721,17.79166030883789,0.0758415162563324,18.10243034362793,0.06868591159582138,0,3,2,0.675748503023798,0.003073585126505738,1.1704267047069552,1.4157145024535016,0.08173576526453058,19.643606341389265,27.16952413246923,0.5846614120191747,610.4726702628133,162.797778902172,20251207::OBJ_MP_0276_0194.fits.gz::9890,20251207::896::20251207::OBJ_MP_0276_0194.fits.gz::9890,retained_after_posthoc_audit
20251208,/home/admin/pipeline/xiaoyunao/heliolincrr/review_packages/20251208/20251208_unknown_review_full.fits,42,00000cs,449,0,OBJ_MP_1210_0055.fits.gz,OBJ_MP_1210_0055_cat.fits.gz,9381,20251208002600010026,20251208002600010026;20251208002601020060,25,0->1,61017.452854953706,34.915708467273525,19.715009680173296,34.91571041858913,19.715008691438126,1.6144760131453495e-05,1.5250469626693075e-05,4690.0898118313935,5389.272947337044,16.215097427368164,0.01494034007191658,16.228445053100586,0.012646549381315708,0,3,2,0.01636040616895529,0.003073585126505738,0.02816987299420595,3.3040368381776677,0.0012217897043561392,21.55593699135638,16.405946493323977,0.014996751283622099,497.6980885870791,232.22603889423468,20251208::OBJ_MP_1210_0055.fits.gz::9381,20251208::449::20251208::OBJ_MP_1210_0055.fits.gz::9381,retained_after_posthoc_audit
