healpix_nside,pixel,ecliptic_lon_deg,ecliptic_lat_deg,detection_count
64,15323,128.671875,22.02431283704216,5
64,15324,130.078125,22.02431283704216,12
64,15325,131.484375,22.02431283704216,3
64,15326,132.890625,22.02431283704216,11
64,15327,134.296875,22.02431283704216,3
64,15328,135.703125,22.02431283704216,11
64,15329,137.109375,22.02431283704216,3
64,15330,138.515625,22.02431283704216,5
64,15331,139.921875,22.02431283704216,3
64,15334,144.140625,22.02431283704216,5
64,15335,145.546875,22.02431283704216,4
64,15337,148.359375,22.02431283704216,5
64,15338,149.765625,22.02431283704216,1
64,15523,49.21875,21.381942579838892,1
64,15524,50.625,21.381942579838892,4
64,15553,91.40625,21.381942579838892,1
64,15556,95.625,21.381942579838892,1
64,15557,97.03125,21.381942579838892,7
64,15559,99.84375,21.381942579838892,4
64,15579,127.96875,21.381942579838892,3
64,15580,129.375,21.381942579838892,1
64,15581,130.78125,21.381942579838892,1
64,15582,132.1875,21.381942579838892,2
64,15583,133.59375,21.381942579838892,4
64,15584,135.0,21.381942579838892,1
64,15585,136.40625,21.381942579838892,4
64,15586,137.8125,21.381942579838892,2
64,15589,142.03125,21.381942579838892,1
64,15592,146.25,21.381942579838892,1
64,15593,147.65625,21.381942579838892,9
64,15594,149.0625,21.381942579838892,1
64,15596,151.875,21.381942579838892,2
64,15777,47.109375,20.742379954487134,2
64,15778,48.515625,20.742379954487134,3
64,15779,49.921875,20.742379954487134,1
64,15809,92.109375,20.742379954487134,3
64,15813,97.734375,20.742379954487134,1
64,15816,101.953125,20.742379954487134,3
64,15835,128.671875,20.742379954487134,2
64,15837,131.484375,20.742379954487134,3
64,15838,132.890625,20.742379954487134,7
64,15839,134.296875,20.742379954487134,1
64,15840,135.703125,20.742379954487134,3
64,15841,137.109375,20.742379954487134,15
64,15842,138.515625,20.742379954487134,3
64,15843,139.921875,20.742379954487134,3
64,15845,142.734375,20.742379954487134,3
64,16033,46.40625,20.105509787916006,2
64,16035,49.21875,20.105509787916006,2
64,16069,97.03125,20.105509787916006,3
64,16071,99.84375,20.105509787916006,8
64,16072,101.25,20.105509787916006,1
64,16087,122.34375,20.105509787916006,1
64,16088,123.75,20.105509787916006,2
64,16089,125.15625,20.105509787916006,2
64,16090,126.5625,20.105509787916006,3
64,16091,127.96875,20.105509787916006,1
64,16092,129.375,20.105509787916006,10
64,16093,130.78125,20.105509787916006,9
64,16094,132.1875,20.105509787916006,7
64,16095,133.59375,20.105509787916006,9
64,16096,135.0,20.105509787916006,7
64,16097,136.40625,20.105509787916006,7
64,16098,137.8125,20.105509787916006,2
64,16099,139.21875,20.105509787916006,3
64,16100,140.625,20.105509787916006,4
64,16101,142.03125,20.105509787916006,3
64,16102,143.4375,20.105509787916006,2
64,16104,146.25,20.105509787916006,3
64,16105,147.65625,20.105509787916006,2
64,16106,149.0625,20.105509787916006,1
64,16107,150.46875,20.105509787916006,3
64,16108,151.875,20.105509787916006,1
64,16288,45.703125,19.47122063449069,6
64,16295,55.546875,19.47122063449069,1
64,16297,58.359375,19.47122063449069,1
64,16315,83.671875,19.47122063449069,1
64,16319,89.296875,19.47122063449069,1
64,16320,90.703125,19.47122063449069,2
64,16321,92.109375,19.47122063449069,4
64,16324,96.328125,19.47122063449069,1
64,16326,99.140625,19.47122063449069,2
64,16327,100.546875,19.47122063449069,2
64,16328,101.953125,19.47122063449069,2
64,16334,110.390625,19.47122063449069,1
64,16335,111.796875,19.47122063449069,2
64,16336,113.203125,19.47122063449069,1
64,16337,114.609375,19.47122063449069,1
64,16338,116.015625,19.47122063449069,1
64,16340,118.828125,19.47122063449069,1
64,16341,120.234375,19.47122063449069,1
64,16343,123.04687499999994,19.47122063449069,1
64,16344,124.453125,19.47122063449069,2
64,16345,125.859375,19.47122063449069,1
64,16346,127.265625,19.47122063449069,1
64,16347,128.671875,19.47122063449069,9
64,16348,130.078125,19.47122063449069,6
64,16349,131.484375,19.47122063449069,10
64,16350,132.890625,19.47122063449069,3
64,16351,134.296875,19.47122063449069,7
64,16352,135.703125,19.47122063449069,2
64,16353,137.109375,19.47122063449069,7
64,16354,138.515625,19.47122063449069,3
64,16358,144.140625,19.47122063449069,7
64,16360,146.953125,19.47122063449069,2
64,16361,148.359375,19.47122063449069,2
64,16365,153.984375,19.47122063449069,2
64,16544,45.0,18.839404547275464,4
64,16547,49.21875,18.839404547275464,1
64,16548,50.625,18.839404547275464,2
64,16550,53.4375,18.839404547275464,2
64,16551,54.84375,18.839404547275464,1
64,16552,56.25,18.839404547275464,1
64,16571,82.96875,18.839404547275464,2
64,16579,94.21875,18.839404547275464,1
64,16581,97.03125,18.839404547275464,2
64,16582,98.4375,18.839404547275464,3
64,16583,99.84375,18.839404547275464,4
64,16584,101.25,18.839404547275464,1
64,16592,112.5,18.839404547275464,1
64,16593,113.90625,18.839404547275464,1
64,16594,115.3125,18.839404547275464,2
64,16598,120.9375,18.839404547275464,1
64,16599,122.34375,18.839404547275464,2
64,16601,125.15625,18.839404547275464,2
64,16602,126.5625,18.839404547275464,1
64,16603,127.96875,18.839404547275464,2
64,16604,129.375,18.839404547275464,8
64,16605,130.78125,18.839404547275464,6
64,16608,135.0,18.839404547275464,3
64,16609,136.40625,18.839404547275464,2
64,16611,139.21875,18.839404547275464,13
64,16612,140.625,18.839404547275464,4
64,16613,142.03125,18.839404547275464,6
64,16614,143.4375,18.839404547275464,9
64,16615,144.84375,18.839404547275464,3
64,16616,146.25,18.839404547275464,2
64,16619,150.46875,18.839404547275464,1
64,16621,153.28125,18.839404547275464,2
64,16782,20.390625,18.209956864283,3
64,16784,23.203125,18.209956864283,2
64,16790,31.640625,18.209956864283,3
64,16792,34.453125,18.209956864283,1
