object_key,detection_count,night_count,time_baseline_days
N:258991,2,2,33.99839517361397
N:17545,27,10,40.990361678239424
N:35341,40,14,67.924119571755
N:44098,42,15,67.91640627314337
N:50613,18,6,33.953986990738485
N:84707,19,8,49.91692317129491
N:113065,17,7,40.959757256940065
N:172315,1,1,0.0
N:194094,7,5,36.946648217592156
N:607557,1,1,0.0
N:1961,53,16,64.94832603009854
N:2070,44,16,133.8126435879676
N:6000,53,20,71.88858098379569
N:11697,44,16,77.80604164351826
N:13269,7,4,33.992512534721754
N:14230,43,14,67.93592032407469
N:18759,24,10,67.93505723380076
N:39043,42,17,70.79814362269099
N:45781,16,8,67.93135678240651
N:50939,21,11,67.93505723380076
N:52172,17,9,67.93505723380076
N:56377,10,6,40.92882810185256
N:59452,29,9,67.94103143518441
N:59531,22,8,60.90301108796848
N:71157,26,11,67.94315972222103
N:72617,17,8,67.93907008101814
N:77777,19,9,67.93505723380076
N:92606,32,13,67.94315972222103
N:94712,36,12,67.93410009259242
N:118500,12,5,67.93135678240651
N:142737,42,13,67.9400775000031
N:162525,24,9,60.91807439814875
N:276022,23,8,52.893311944448214
N:348085,21,8,41.90354357639444
N:709948,2,2,70.79020717593085
S:2013cu182,1,1,0.0
N:71533,22,9,67.92328134259151
N:162585,4,4,33.92081159722147
N:243637,1,1,0.0
N:307907,1,1,0.0
N:97497,2,2,1.8866907754563726
N:1034,38,16,133.80589483796211
N:1415,42,17,133.80785898148315
N:4307,45,15,70.79862803240394
N:9771,32,13,71.8500895949037
N:9895,51,18,97.88866189814871
N:14904,33,12,67.93837511573656
N:15766,41,13,67.93931038194569
N:17379,29,11,67.93931038194569
N:20300,33,15,71.85277718750149
N:33533,26,11,52.91749841435376
N:44489,30,10,51.84760593750252
N:50818,21,9,60.948555949071306
N:85415,23,9,42.976284247684816
N:137733,27,11,66.93993355324346
N:193412,26,11,67.93727392361325
N:470801,28,11,51.99768542824313
N:714553,1,1,0.0
N:12589,27,9,42.86333174768515
N:69706,30,12,67.91252908565366
N:13002,30,13,67.89433064814511
N:317504,1,1,0.0
N:14172,34,11,67.88631402778265
N:306642,11,4,5.071952812504605
N:15229,34,14,67.86852354167058
N:47064,16,8,60.8777691087962
N:98003,10,7,60.85114546296245
S:2015ar141,1,1,0.0
N:5419,39,14,97.82378310185595
N:15591,38,17,71.81624105323863
N:21986,32,13,61.87477223379392
N:23450,31,12,60.8341500810202
N:88075,26,13,70.75316958333133
N:95203,24,14,61.8577989814803
N:834049,1,1,0.0
N:869918,1,1,0.0
S:2019tc53,1,1,0.0
N:23512,37,15,76.82135453703086
N:371,41,17,133.7531463425912
N:5079,44,18,97.83925488425302
N:5084,27,13,97.82924193286453
N:7114,31,13,97.82033854166366
N:8025,26,10,97.82924193286453
N:11363,36,15,97.83008758101641
N:12424,27,13,70.81225678240298
N:13157,29,13,97.79360894675483
N:17549,31,14,71.81987224536715
N:19657,38,15,97.81569228009175
N:22701,26,12,97.83103518518328
N:27243,28,12,97.82033854166366
N:27770,23,11,61.8488834606469
N:31775,30,11,61.867102013886324
N:36524,19,9,61.850869641202735
N:49029,24,13,97.77661556712701
N:54856,18,10,61.8488834606469
N:66853,16,9,51.73355703703419
N:37639,36,15,97.81229060185433
N:111311,24,12,70.79910576389375
N:3444,36,13,72.07259491898003
N:4708,22,6,59.97150247685204
N:7202,33,9,68.10888362268452
N:8378,30,10,71.03493726851593
N:10265,39,7,65.07280005786743
N:14722,15,4,11.07951491897984
N:20131,19,7,65.04579101851414
N:21430,13,4,20.02605737268459
N:34086,17,6,50.03434177082818
N:87625,10,3,11.07951491897984
N:164841,11,3,11.07417442129372
N:45269,8,4,19.987071168980037
N:52934,7,3,11.06570799768815
N:59709,3,3,11.02385628472257
N:85636,12,4,20.0122504513929
N:88151,1,1,0.0
N:91537,5,3,11.06036750000203
N:163581,7,2,11.06570799768815
N:65873,4,2,11.040061597224849
N:2692,42,12,68.05368623842514
N:35441,29,7,50.06444253472
N:36745,14,5,34.0694872916647
N:38786,19,8,65.00459581018367
N:43321,19,8,68.0836658217595
N:111246,27,9,65.03033370370395
N:34302,16,4,11.077583310187038
N:41309,8,5,19.974558761568915
N:89956,10,4,11.075222997686069
N:17664,29,11,76.07521517361602
N:37265,13,4,34.06562156250584
N:42723,8,5,19.997547881946957
N:51657,8,3,5.107388692129462
N:55075,8,3,5.107388692129462
N:56142,14,6,34.075007847226516
N:66552,16,7,50.04685134259489
N:98334,6,3,5.107388692129462
N:244147,8,3,5.107388692129462
N:64074,4,2,5.0864455555565655
N:73533,6,3,5.079291805552202
N:96173,7,3,5.079291805552202
N:172492,7,3,5.079291805552202
N:19983,32,11,68.0828064351881
N:49606,22,6,65.02154185185645
N:9275,19,8,60.99033988425799
