object_key,asteroid_number,asteroid_name,detection_count,night_count,first_mjd,last_mjd,join_method,join_status,catalog_number,catalog_name,catalog_epoch,a_au,ecc,inc_deg,H_mag,mean_anomaly_epoch_deg,arg_peri_deg,node_deg,mean_motion_deg_day,time_baseline_days,orbit_class
N:14536,14536,1997 RY2,1,1,60995.517588194445,60995.517588194445,number,matched,14536,1997 RY2,2026-03-01,2.76302704,0.101903,3.380608,14.73,66.087832,141.252815,200.489701,0.21459834639690709,0.0,Main belt
N:25819,25819,Tripathi,6,3,60995.517588194445,61008.551030891205,number,matched,25819,Tripathi,2026-03-01,3.14164441,0.15115017,0.250229,14.09,65.132919,159.526493,172.894564,0.17699807074237975,13.033442696760176,Main belt
N:101997,101997,1999 RU75,3,3,60995.517588194445,61015.54083568287,number,matched,101997,1999 RU75,2026-03-01,2.38475468,0.10105846,4.776328,15.9,10.444265,198.704671,219.602526,0.2676322894049942,20.023247488425113,Main belt
N:158081,158081,2000 VP,4,2,60995.517588194445,60997.52863792824,number,matched,158081,2000 VP,2026-03-01,2.59766969,0.1492519,4.918529,15.96,23.859436,181.3288,216.192027,0.2354117757740112,2.0110497337955167,Main belt
N:5666,5666,Rabelais,26,11,60995.487563194445,61066.46951913195,number,matched,5666,Rabelais,2026-03-01,2.48261632,0.12495055,3.394663,13.56,297.412918,253.692878,241.500175,0.25196467911427245,70.98195593750279,Main belt
N:7997,7997,1985 CN1,20,9,60995.487563194445,61044.471306064814,number,matched,7997,1985 CN1,2026-03-01,2.29880172,0.10029666,3.171582,14.29,274.371447,144.875211,12.827113,0.2827820273206637,48.98374287036859,Main belt
N:12502,12502,1998 FO68,11,6,60995.487563194445,61029.52888586806,number,matched,12502,1998 FO68,2026-03-01,2.40417033,0.21051025,1.843315,14.79,100.765397,328.136677,326.236171,0.2643968179254259,34.04132267361274,Main belt
N:14115,14115,Melaas,18,8,60995.487563194445,61063.5263675463,number,matched,14115,Melaas,2026-03-01,2.44747726,0.19032211,3.597931,15.35,35.54247,129.566641,253.333213,0.25741039186706216,68.0388043518542,Main belt
N:15623,15623,Maitaneam,29,12,60995.487563194445,61063.57699540509,number,matched,15623,Maitaneam,2026-03-01,2.2731402,0.17901502,3.37517,14.46,35.639819,9.375344,18.51852,0.2875840133335902,68.08943221064692,Main belt
N:45473,45473,2000 AG212,14,6,60995.487563194445,61029.53287137731,number,matched,45473,2000 AG212,2026-03-01,2.73183437,0.1925862,1.607878,14.98,34.47168,68.181013,307.759131,0.2182843132419857,34.0453081828673,Main belt
N:70191,70191,1999 RY11,12,6,60995.487563194445,61013.60587594908,number,matched,70191,1999 RY11,2026-03-01,2.38393257,0.21043312,1.761661,16.01,21.435431,51.083927,355.747958,0.2677707426599985,18.118312754631916,Main belt
N:835382,835382,2011 JR1,1,1,60995.487563194445,60995.487563194445,number,matched,835382,2011 JR1,2026-03-01,1.91190177,0.06861933,19.386616,18.67,5.602622,212.827396,221.683953,0.37282558752101796,0.0,Inner belt / Hungaria
N:16343,16343,2326 T-3,7,4,60995.510396122685,61008.433633912035,number,matched,16343,2326 T-3,2026-03-01,2.51864109,0.04275513,2.280007,15.06,51.848507,83.126374,280.768299,0.24657818262232264,12.923237789349514,Main belt
N:24647,24647,Maksimachev,21,5,60995.50470078704,61029.525850625,number,matched,24647,Maksimachev,2026-03-01,2.22605277,0.22949891,3.551921,15.23,99.615783,310.236146,348.742408,0.2967569444889776,34.02114983796491,Main belt
N:62152,62152,2000 SC21,11,6,60995.510396122685,61029.53287137731,number,matched,62152,2000 SC21,2026-03-01,2.58834035,0.11792048,2.800556,14.69,65.731026,87.948614,254.190814,0.23668568918457106,34.02247525462735,Main belt
N:66864,66864,1999 VD44,7,4,60995.510396122685,61008.42940664352,number,matched,66864,1999 VD44,2026-03-01,2.66230538,0.01192408,13.923478,14.38,171.122763,23.965533,217.786416,0.226890999946949,12.919010520832671,Main belt
N:94149,94149,2001 AX4,13,6,60995.510396122685,61029.53287137731,number,matched,94149,2001 AX4,2026-03-01,2.62053469,0.26357286,3.497459,15.72,18.581644,158.044018,247.768902,0.23233744228720077,34.02247525462735,Main belt
