category,exists,hash_status,mtime_utc,path,sha256,size_bytes
gaia_healpix_tile,True,manifest_metadata_only,2025-10-29T16:58:41.908464+00:00,/pipeline/ref/healpix/healpix-00094.fits,,5088960
gaia_healpix_tile,True,manifest_metadata_only,2025-10-29T16:50:13.508626+00:00,/pipeline/ref/healpix/healpix-00095.fits,,4734720
gaia_healpix_tile,True,manifest_metadata_only,2025-10-29T16:07:44.768787+00:00,/pipeline/ref/healpix/healpix-00096.fits,,4371840
gaia_healpix_tile,True,manifest_metadata_only,2025-10-29T16:33:27.872856+00:00,/pipeline/ref/healpix/healpix-00097.fits,,3939840
gaia_healpix_tile,True,manifest_metadata_only,2025-10-29T17:01:14.858526+00:00,/pipeline/ref/healpix/healpix-00098.fits,,3715200
gaia_healpix_tile,True,manifest_metadata_only,2025-10-29T16:36:54.503770+00:00,/pipeline/ref/healpix/healpix-00099.fits,,3931200
gaia_healpix_tile,True,manifest_metadata_only,2025-10-29T16:47:56.000829+00:00,/pipeline/ref/healpix/healpix-00100.fits,,4222080
gaia_healpix_tile,True,manifest_metadata_only,2025-10-29T16:56:49.063058+00:00,/pipeline/ref/healpix/healpix-00101.fits,,4492800
gaia_healpix_tile,True,manifest_metadata_only,2025-10-29T16:31:01.450131+00:00,/pipeline/ref/healpix/healpix-00102.fits,,4844160
gaia_healpix_tile,True,manifest_metadata_only,2025-10-29T16:05:40.411362+00:00,/pipeline/ref/healpix/healpix-00103.fits,,5325120
gaia_healpix_tile,True,manifest_metadata_only,2025-10-29T16:44:18.741313+00:00,/pipeline/ref/healpix/healpix-00104.fits,,5889600
gaia_healpix_tile,True,manifest_metadata_only,2025-10-29T16:53:12.915415+00:00,/pipeline/ref/healpix/healpix-00105.fits,,6537600
gaia_healpix_tile,True,manifest_metadata_only,2025-10-29T16:28:03.207803+00:00,/pipeline/ref/healpix/healpix-00106.fits,,7758720
gaia_healpix_tile,True,manifest_metadata_only,2025-10-29T16:02:11.410928+00:00,/pipeline/ref/healpix/healpix-00107.fits,,8856000
gaia_healpix_tile,True,manifest_metadata_only,2025-10-29T16:41:58.262066+00:00,/pipeline/ref/healpix/healpix-00108.fits,,9691200
gaia_healpix_tile,True,manifest_metadata_only,2025-10-29T17:06:13.236134+00:00,/pipeline/ref/healpix/healpix-00109.fits,,10457280
gaia_healpix_tile,True,manifest_metadata_only,2025-10-29T16:39:04.888848+00:00,/pipeline/ref/healpix/healpix-00110.fits,,13415040
gaia_healpix_tile,True,manifest_metadata_only,2025-10-29T17:04:01.936891+00:00,/pipeline/ref/healpix/healpix-00111.fits,,13959360
gaia_healpix_tile,True,manifest_metadata_only,2025-10-29T16:23:12.619099+00:00,/pipeline/ref/healpix/healpix-00112.fits,,16303680
gaia_healpix_tile,True,manifest_metadata_only,2025-10-29T16:14:08.984433+00:00,/pipeline/ref/healpix/healpix-00113.fits,,15373440
gaia_healpix_tile,True,manifest_metadata_only,2025-10-29T16:35:50.005766+00:00,/pipeline/ref/healpix/healpix-00114.fits,,13849920
gaia_healpix_tile,True,manifest_metadata_only,2025-10-29T17:01:12.138574+00:00,/pipeline/ref/healpix/healpix-00115.fits,,13697280
gaia_healpix_tile,True,manifest_metadata_only,2025-10-29T16:20:07.730744+00:00,/pipeline/ref/healpix/healpix-00116.fits,,12666240
gaia_healpix_tile,True,manifest_metadata_only,2025-10-29T16:11:36.195426+00:00,/pipeline/ref/healpix/healpix-00117.fits,,11736000
gaia_healpix_tile,True,manifest_metadata_only,2025-10-29T16:49:47.023885+00:00,/pipeline/ref/healpix/healpix-00118.fits,,10134720
gaia_healpix_tile,True,manifest_metadata_only,2025-10-29T16:57:46.600684+00:00,/pipeline/ref/healpix/healpix-00119.fits,,8625600
gaia_healpix_tile,True,manifest_metadata_only,2025-10-29T17:05:35.775612+00:00,/pipeline/ref/healpix/healpix-00120.fits,,7346880
gaia_healpix_tile,True,manifest_metadata_only,2025-10-29T16:40:36.724950+00:00,/pipeline/ref/healpix/healpix-00121.fits,,6572160
gaia_healpix_tile,True,manifest_metadata_only,2025-10-29T16:14:56.358684+00:00,/pipeline/ref/healpix/healpix-00122.fits,,5731200
gaia_healpix_tile,True,manifest_metadata_only,2025-10-29T16:23:32.133883+00:00,/pipeline/ref/healpix/healpix-00123.fits,,5149440
gaia_healpix_tile,True,manifest_metadata_only,2025-10-29T17:00:35.186234+00:00,/pipeline/ref/healpix/healpix-00124.fits,,4728960
gaia_healpix_tile,True,manifest_metadata_only,2025-10-29T16:35:27.522770+00:00,/pipeline/ref/healpix/healpix-00125.fits,,4403520
gaia_healpix_tile,True,manifest_metadata_only,2025-10-29T16:09:42.845980+00:00,/pipeline/ref/healpix/healpix-00126.fits,,4017600
gaia_healpix_tile,True,manifest_metadata_only,2025-10-29T16:18:26.047764+00:00,/pipeline/ref/healpix/healpix-00127.fits,,3677760
gaia_healpix_tile,True,manifest_metadata_only,2025-10-29T16:59:27.996516+00:00,/pipeline/ref/healpix/healpix-00128.fits,,3625920
gaia_healpix_tile,True,manifest_metadata_only,2025-10-29T16:51:27.381397+00:00,/pipeline/ref/healpix/healpix-00129.fits,,3697920
gaia_healpix_tile,True,manifest_metadata_only,2025-10-29T16:57:11.328513+00:00,/pipeline/ref/healpix/healpix-00130.fits,,3896640
gaia_healpix_tile,True,manifest_metadata_only,2025-10-29T16:48:42.827183+00:00,/pipeline/ref/healpix/healpix-00131.fits,,4129920
gaia_healpix_tile,True,manifest_metadata_only,2025-10-29T16:07:10.463131+00:00,/pipeline/ref/healpix/healpix-00132.fits,,4412160
gaia_healpix_tile,True,manifest_metadata_only,2025-10-29T16:32:45.997914+00:00,/pipeline/ref/healpix/healpix-00133.fits,,4703040
gaia_healpix_tile,True,manifest_metadata_only,2025-10-29T16:51:46.447626+00:00,/pipeline/ref/healpix/healpix-00134.fits,,5382720
