night,path,exists,mtime_utc,sha256,parse_status,parameter_line,declared_group_n,skip_reason_counts,group_started_n,group_complete_n,group_failed_n,exposure_group_membership_n,grouped_gaia_input_detection_n,common_area_survivor_detection_n,edge_shell_survivor_detection_n,static_survivor_detection_n,tracklet_n,missing_stage_group_n,duplicate_stage_line_n
20260215,/pipeline/xiaoyunao/data/heliolincrr/20260215/tracklets_linreproj/make_tracklet.log,True,2026-05-15T02:00:47.991782+00:00,085629a787b31f7e7832cd5c90d6673e5a8b8180d88caaef04e1667a25dcb707,ok,vmin=3.0 vmax=63.0 r_static=2.0 min_repeat=2 erode_pix=30 edge_pix=500 fallback_margin=0.1 hdu=1 skip_common_area=True edge_shell_min=300.0 edge_shell_max=500.0 max_tracklets_per_group=100000,143,{},143,143,0,408,321627,321627,276482,80905,7805,0,0
20260216,/pipeline/xiaoyunao/data/heliolincrr/20260216/tracklets_linreproj/make_tracklet.log,True,2026-05-15T02:13:32.173464+00:00,c6a79c73b410a0a7a38d011ef1f7bb89809449f64a8470dab75f447163a39a59,ok,vmin=3.0 vmax=63.0 r_static=2.0 min_repeat=2 erode_pix=30 edge_pix=500 fallback_margin=0.1 hdu=1 skip_common_area=True edge_shell_min=300.0 edge_shell_max=500.0 max_tracklets_per_group=100000,145,{},145,145,0,449,569069,569069,515496,132858,14003,0,0
20260217,/pipeline/xiaoyunao/data/heliolincrr/20260217/tracklets_linreproj/make_tracklet.log,True,2026-05-15T02:36:00.725265+00:00,2ae2ab89fa815714e8a898eacaf4f77b25375ee1a58a7ebd2fe7d8e70656ca3f,ok,vmin=3.0 vmax=63.0 r_static=2.0 min_repeat=2 erode_pix=30 edge_pix=500 fallback_margin=0.1 hdu=1 skip_common_area=True edge_shell_min=300.0 edge_shell_max=500.0 max_tracklets_per_group=100000,155,{},155,155,0,466,503204,503204,452276,125921,12545,0,0
20260218,/pipeline/xiaoyunao/data/heliolincrr/20260218/tracklets_linreproj/make_tracklet.log,True,2026-05-15T02:39:33.946202+00:00,dd17431342c9c139c267a0c6f6034584a75280794786312fd1ba947b0952bb94,ok,vmin=3.0 vmax=63.0 r_static=2.0 min_repeat=2 erode_pix=30 edge_pix=500 fallback_margin=0.1 hdu=1 skip_common_area=True edge_shell_min=300.0 edge_shell_max=500.0 max_tracklets_per_group=100000,157,{},157,157,0,463,473993,473993,418585,118417,11004,0,0
20260219,/pipeline/xiaoyunao/data/heliolincrr/20260219/tracklets_linreproj/make_tracklet.log,True,2026-05-15T03:09:13.810495+00:00,0da0592186e9f4edfbaae337b334e87976151edd946f6e658ca7ebdc58ffc9bc,ok,vmin=3.0 vmax=63.0 r_static=2.0 min_repeat=2 erode_pix=30 edge_pix=500 fallback_margin=0.1 hdu=1 skip_common_area=True edge_shell_min=300.0 edge_shell_max=500.0 max_tracklets_per_group=100000,91,{},91,91,0,252,211124,211124,180155,55660,6256,0,0
20260220,/pipeline/xiaoyunao/data/heliolincrr/20260220/tracklets_linreproj/make_tracklet.log,True,2026-05-15T03:34:22.546568+00:00,3c8688374563bd0afd79c76b0948be7f0001d45c5d82262e6ba26fa58c6863eb,ok,vmin=3.0 vmax=63.0 r_static=2.0 min_repeat=2 erode_pix=30 edge_pix=500 fallback_margin=0.1 hdu=1 skip_common_area=True edge_shell_min=300.0 edge_shell_max=500.0 max_tracklets_per_group=100000,139,{},139,139,0,413,211140,211140,160119,75080,5546,0,0
20260221,/pipeline/xiaoyunao/data/heliolincrr/20260221/tracklets_linreproj/make_tracklet.log,False,,,missing,,,{},0,0,0,0,0,0,0,0,0,0,0
20260222,/pipeline/xiaoyunao/data/heliolincrr/20260222/tracklets_linreproj/make_tracklet.log,True,2026-05-15T03:44:36.632734+00:00,3a40605179e177dc2b2058bc5c10bf363a6845fcc7447b550bdd4c59a4896bbe,ok,vmin=3.0 vmax=63.0 r_static=2.0 min_repeat=2 erode_pix=30 edge_pix=500 fallback_margin=0.1 hdu=1 skip_common_area=True edge_shell_min=300.0 edge_shell_max=500.0 max_tracklets_per_group=100000,128,{},128,128,0,366,412103,412103,364598,95027,8141,0,0
20260223,/pipeline/xiaoyunao/data/heliolincrr/20260223/tracklets_linreproj/make_tracklet.log,True,2026-05-15T03:57:38.694148+00:00,23a5e0abaf28f3353cc020b799db2d7d59186ff01aae3964e45904f4ead6b4c2,ok,vmin=3.0 vmax=63.0 r_static=2.0 min_repeat=2 erode_pix=30 edge_pix=500 fallback_margin=0.1 hdu=1 skip_common_area=True edge_shell_min=300.0 edge_shell_max=500.0 max_tracklets_per_group=100000,13,{},13,13,0,40,74965,74965,70017,17427,1436,0,0
20260224,/pipeline/xiaoyunao/data/heliolincrr/20260224/tracklets_linreproj/make_tracklet.log,True,2026-05-15T03:58:38.322065+00:00,13ebe3ac98eb0f646584d7d7a90fbf329dbede9467f355df03a2ecda04b1e4ff,ok,vmin=3.0 vmax=63.0 r_static=2.0 min_repeat=2 erode_pix=30 edge_pix=500 fallback_margin=0.1 hdu=1 skip_common_area=True edge_shell_min=300.0 edge_shell_max=500.0 max_tracklets_per_group=100000,18,{},18,18,0,37,9198,9198,5024,3171,303,0,0
