metric,lower,upper,stage,eligible_object_n,survived_object_n,survival_fraction,ci95_low,ci95_high,denominator_definition
measured_aperture_magnitude,15.0,16.0,strict_linked,3366,2413,0.7168746286393345,0.7014145123388248,0.7318402914378904,object-night with >=3 distinct 1.5-arcsec known detections and 3<=first-last rate<=63 arcsec/h
measured_aperture_magnitude,15.0,16.0,fit_ok_survived,3366,2413,0.7168746286393345,0.7014145123388248,0.7318402914378904,object-night with >=3 distinct 1.5-arcsec known detections and 3<=first-last rate<=63 arcsec/h
measured_aperture_magnitude,15.0,16.0,is_good_survived,3366,2413,0.7168746286393345,0.7014145123388248,0.7318402914378904,object-night with >=3 distinct 1.5-arcsec known detections and 3<=first-last rate<=63 arcsec/h
measured_aperture_magnitude,16.0,17.0,strict_linked,9788,7264,0.7421332243563548,0.7333729917800874,0.750703473298921,object-night with >=3 distinct 1.5-arcsec known detections and 3<=first-last rate<=63 arcsec/h
measured_aperture_magnitude,16.0,17.0,fit_ok_survived,9788,7264,0.7421332243563548,0.7333729917800874,0.750703473298921,object-night with >=3 distinct 1.5-arcsec known detections and 3<=first-last rate<=63 arcsec/h
measured_aperture_magnitude,16.0,17.0,is_good_survived,9788,7264,0.7421332243563548,0.7333729917800874,0.750703473298921,object-night with >=3 distinct 1.5-arcsec known detections and 3<=first-last rate<=63 arcsec/h
measured_aperture_magnitude,17.0,18.0,strict_linked,29489,22366,0.758452304249042,0.7535336281629458,0.7633036532255905,object-night with >=3 distinct 1.5-arcsec known detections and 3<=first-last rate<=63 arcsec/h
measured_aperture_magnitude,17.0,18.0,fit_ok_survived,29489,22366,0.758452304249042,0.7535336281629458,0.7633036532255905,object-night with >=3 distinct 1.5-arcsec known detections and 3<=first-last rate<=63 arcsec/h
measured_aperture_magnitude,17.0,18.0,is_good_survived,29489,22366,0.758452304249042,0.7535336281629458,0.7633036532255905,object-night with >=3 distinct 1.5-arcsec known detections and 3<=first-last rate<=63 arcsec/h
measured_aperture_magnitude,18.0,19.0,strict_linked,50370,37736,0.7491760968830653,0.745371558410617,0.7529426315151252,object-night with >=3 distinct 1.5-arcsec known detections and 3<=first-last rate<=63 arcsec/h
measured_aperture_magnitude,18.0,19.0,fit_ok_survived,50370,37736,0.7491760968830653,0.745371558410617,0.7529426315151252,object-night with >=3 distinct 1.5-arcsec known detections and 3<=first-last rate<=63 arcsec/h
measured_aperture_magnitude,18.0,19.0,is_good_survived,50370,37736,0.7491760968830653,0.745371558410617,0.7529426315151252,object-night with >=3 distinct 1.5-arcsec known detections and 3<=first-last rate<=63 arcsec/h
measured_aperture_magnitude,19.0,20.0,strict_linked,6409,4371,0.6820096738960836,0.6705022181786802,0.693299072556649,object-night with >=3 distinct 1.5-arcsec known detections and 3<=first-last rate<=63 arcsec/h
measured_aperture_magnitude,19.0,20.0,fit_ok_survived,6409,4371,0.6820096738960836,0.6705022181786802,0.693299072556649,object-night with >=3 distinct 1.5-arcsec known detections and 3<=first-last rate<=63 arcsec/h
measured_aperture_magnitude,19.0,20.0,is_good_survived,6409,4371,0.6820096738960836,0.6705022181786802,0.693299072556649,object-night with >=3 distinct 1.5-arcsec known detections and 3<=first-last rate<=63 arcsec/h
measured_aperture_magnitude,20.0,21.0,strict_linked,0,0,,,,object-night with >=3 distinct 1.5-arcsec known detections and 3<=first-last rate<=63 arcsec/h
measured_aperture_magnitude,20.0,21.0,fit_ok_survived,0,0,,,,object-night with >=3 distinct 1.5-arcsec known detections and 3<=first-last rate<=63 arcsec/h
measured_aperture_magnitude,20.0,21.0,is_good_survived,0,0,,,,object-night with >=3 distinct 1.5-arcsec known detections and 3<=first-last rate<=63 arcsec/h
