night,raw_science_n,l2_mp_n,plan_n,plan_matched_raw_n,known_predicted_n,known_match1_n,known_mask15_n,known_ades_n,known_mpc_state,gaia_survivor_n,grouped_gaia_input_detection_n,edge_shell_survivor_detection_n,static_survivor_detection_n,tracklet_n,link_n,orbit_fit_n,orbit_is_good_n,unknown_n,review_real_n,submit_real_n,audit_initial_n,audit_real_n,unknown_mpc_state,quality_code,quality_reason,code_commit,input_manifest_hash,raw_all_mp_n,raw_not_in_plan_n,plan_not_acquired_n,acquired_frame_plan_compliance,planned_frame_realization,summary_known_mask15_n,masked_catalog_detection_n,link_member_n,link_all_non_known_n,orbit_fit_non_known_n,orbit_is_good_non_known_n,known_after_gaia_n,known_ge3_object_n,known_ge3_linked_object_n,summary_exists,mag_flag_prefilter_detection_n,gaia_removed_n,gaia_ok_file_n,gaia_log_file_n,gaia_status_counts,tracklet_stage_state,common_area_survivor_detection_n,tracklet_log_n,tracklet_group_n,tracklet_skip_reason_counts,primary_science_included,unknown_science_included,l2_detection_n,tracklet_count_log_minus_summary
20251206,371,360,0,0,137564,4144,4253,3281,reply_received,141363,131475,97320,36503,4818,759,759,759,41,0,0,0,0,catalog_nonempty,quality_ok,,d2f0057bd4cdd4c7a3c6c2431f6449a72c327284,1696aab4b60098bd8168c3ddf22814b9d09727ec11202d6fd99d7c2f1643bc58,371,371,0,0.0,,4253,141363,1526,41,41,41,4016,931,681,True,3505405,3364042,358,360,"{""empty_after_prefilter"": 2, ""ok"": 358}",ok,131475,4818,106,"{""fewer than 2 exposures with sources after common-area cut"": 1}",True,True,4005203,0.0
20251207,493,468,0,0,182408,6328,6561,4974,reply_received,244568,242195,202782,85060,17171,1367,1367,1367,111,2,2,2,2,reply_received,quality_ok,,d2f0057bd4cdd4c7a3c6c2431f6449a72c327284,1696aab4b60098bd8168c3ddf22814b9d09727ec11202d6fd99d7c2f1643bc58,493,493,0,0.0,,6561,244568,2838,111,111,111,6111,1420,1179,True,5950354,5705786,458,468,"{""empty_after_prefilter"": 10, ""ok"": 458}",ok,242195,17171,149,"{""fewer than 2 exposures with sources after common-area cut"": 5}",True,True,6982428,0.0
20251208,382,382,0,0,133243,6022,6183,4301,reply_received,235704,204900,167394,49943,7613,1185,1185,1185,46,3,3,3,3,reply_received,quality_ok,,d2f0057bd4cdd4c7a3c6c2431f6449a72c327284,1696aab4b60098bd8168c3ddf22814b9d09727ec11202d6fd99d7c2f1643bc58,402,382,0,0.0,,6183,235704,2413,46,46,46,5755,1271,1060,True,6555617,6319913,381,382,"{""empty_after_prefilter"": 1, ""ok"": 381}",ok,204900,7613,95,{},True,True,7606506,0.0
20251209,484,474,0,0,176099,6585,6914,4543,reply_received,234816,231987,179669,68214,8115,1257,1257,1257,82,1,1,1,1,reply_received,quality_ok,,d2f0057bd4cdd4c7a3c6c2431f6449a72c327284,1696aab4b60098bd8168c3ddf22814b9d09727ec11202d6fd99d7c2f1643bc58,484,484,0,0.0,,6914,234816,2544,82,82,82,6242,1375,1081,True,12090940,11856124,474,474,"{""ok"": 474}",ok,231987,8115,152,"{""no tracklets"": 1}",True,True,14713968,0.0
20251210,418,417,0,0,133427,7375,7701,5324,reply_received,290975,284065,237599,83068,8437,1426,1426,1426,69,0,0,0,0,catalog_nonempty,quality_ok,,d2f0057bd4cdd4c7a3c6c2431f6449a72c327284,1696aab4b60098bd8168c3ddf22814b9d09727ec11202d6fd99d7c2f1643bc58,418,418,0,0.0,,7701,290975,2936,69,69,69,6832,1571,1275,True,13157512,12866537,417,417,"{""ok"": 417}",ok,284065,8437,134,{},True,True,17123868,0.0
20251211,0,0,0,0,0,0,0,0,not_run,0,0,0,0,0,0,0,0,0,0,0,0,0,not_run,no_strict_raw,,d2f0057bd4cdd4c7a3c6c2431f6449a72c327284,1696aab4b60098bd8168c3ddf22814b9d09727ec11202d6fd99d7c2f1643bc58,0,0,0,,,0,0,0,0,0,0,0,0,0,,0,0,0,0,,missing,0,0,0,{},True,True,0,
20251212,0,0,0,0,0,0,0,0,not_run,0,0,0,0,0,0,0,0,0,0,0,0,0,not_run,no_strict_raw,,d2f0057bd4cdd4c7a3c6c2431f6449a72c327284,1696aab4b60098bd8168c3ddf22814b9d09727ec11202d6fd99d7c2f1643bc58,0,0,0,,,0,0,0,0,0,0,0,0,0,,0,0,0,0,,missing,0,0,0,{},True,True,0,
20251213,441,375,0,0,157148,7344,7816,4706,reply_received,199492,134994,108909,48709,4711,730,730,730,43,0,0,0,0,catalog_nonempty,quality_ok,,d2f0057bd4cdd4c7a3c6c2431f6449a72c327284,1696aab4b60098bd8168c3ddf22814b9d09727ec11202d6fd99d7c2f1643bc58,441,441,0,0.0,,7816,199492,1520,43,43,43,6820,1302,653,True,9697730,9498238,375,375,"{""ok"": 375}",ok,134994,4711,96,"{""no tracklets"": 2}",True,True,12344249,0.0
20251214,268,268,0,0,108319,7087,7279,5079,reply_received,171444,170057,142801,51821,6517,1317,1317,1317,51,1,1,1,1,reply_received,quality_ok,,d2f0057bd4cdd4c7a3c6c2431f6449a72c327284,1696aab4b60098bd8168c3ddf22814b9d09727ec11202d6fd99d7c2f1643bc58,268,268,0,0.0,,7279,171444,2712,51,51,51,6633,1496,1195,True,6128690,5957246,268,268,"{""ok"": 268}",ok,170057,6517,84,"{""no tracklets"": 6}",True,True,7171393,0.0
20251215,444,444,0,0,165680,9771,10149,7290,reply_received,292635,284145,235277,81289,10405,1893,1893,1893,128,1,1,1,1,reply_received,quality_ok,,d2f0057bd4cdd4c7a3c6c2431f6449a72c327284,1696aab4b60098bd8168c3ddf22814b9d09727ec11202d6fd99d7c2f1643bc58,444,444,0,0.0,,10149,292635,3912,128,128,128,9174,2155,1685,True,11870937,11578302,444,444,"{""ok"": 444}",ok,284145,10405,137,{},True,True,14505138,0.0
20251216,431,431,0,0,154876,9635,10082,6655,reply_received,304451,273015,224338,85130,9600,1706,1706,1706,106,1,1,1,1,reply_received,quality_ok,,d2f0057bd4cdd4c7a3c6c2431f6449a72c327284,1696aab4b60098bd8168c3ddf22814b9d09727ec11202d6fd99d7c2f1643bc58,431,431,0,0.0,,10082,304451,3477,106,106,106,8958,1956,1514,True,14021692,13717241,431,431,"{""ok"": 431}",ok,273015,9600,135,{},True,True,18520078,0.0
20251217,443,436,0,0,155643,7683,8151,5259,reply_received,305804,301948,255694,86798,9985,1193,1193,1193,47,3,3,3,3,reply_received,quality_ok,,d2f0057bd4cdd4c7a3c6c2431f6449a72c327284,1696aab4b60098bd8168c3ddf22814b9d09727ec11202d6fd99d7c2f1643bc58,443,443,0,0.0,,8151,305804,2434,47,47,47,6956,1617,1098,True,12907976,12602172,436,436,"{""ok"": 436}",ok,301948,9985,129,{},True,True,16172637,0.0
