field_id,exposure_n,night_n,first_night,last_night,open_shutter_s
0425,46,15,20260112,20260308,1380.0
0566,46,14,20251204,20260306,1380.0
0679,46,16,20251213,20260222,1380.0
0701,46,16,20251204,20260306,1380.0
0817,46,15,20251217,20260202,1380.0
0836,46,15,20251204,20260306,1380.0
0837,46,15,20251207,20260303,1380.0
0974,46,17,20251203,20260428,1380.0
1080,46,17,20251209,20260222,1380.0
1084,46,16,20251213,20260201,1380.0
1091,46,16,20251119,20260330,1380.0
1100,46,18,20251122,20260306,1380.0
1203,46,17,20251115,20260126,1380.0
1265,46,18,20260129,20260601,1380.0
1347,46,18,20251121,20260127,1380.0
1353,46,18,20251213,20260127,1380.0
1372,46,17,20251124,20260426,1380.0
1654,46,16,20251231,20260403,1380.0
0033,45,14,20251213,20260308,1350.0
0034,45,16,20251213,20260308,1350.0
0048,45,16,20251205,20260311,1350.0
0050,45,16,20251205,20260311,1350.0
0294,45,16,20251216,20260308,1350.0
0305,45,16,20251205,20260310,1350.0
0561,45,18,20251127,20260306,1350.0
0705,45,14,20251213,20260310,1350.0
0709,45,15,20251220,20260407,1350.0
0828,45,15,20251122,20260306,1350.0
0946,45,16,20251213,20260222,1350.0
0948,45,17,20251213,20260222,1350.0
0967,45,16,20251204,20260330,1350.0
1239,45,16,20251128,20260427,1350.0
1257,45,15,20251231,20260528,1350.0
1502,45,17,20251121,20260426,1350.0
1505,45,16,20251124,20260426,1350.0
1608,45,11,20251115,20260117,1350.0
1625,45,13,20251115,20260127,1350.0
1636,45,18,20251121,20260426,1350.0
1739,45,14,20251115,20260120,1350.0
1795,45,17,20260211,20260530,1350.0
0039,44,14,20251127,20260208,1320.0
0049,44,16,20251205,20260311,1320.0
0423,44,15,20260110,20260330,1320.0
0570,44,14,20251215,20260310,1320.0
0814,44,16,20251213,20260222,1320.0
0830,44,18,20251122,20260220,1320.0
0945,44,16,20251210,20260222,1320.0
1237,44,16,20251124,20260426,1320.0
1251,44,16,20251216,20260429,1320.0
1346,44,16,20251119,20260127,1320.0
1358,44,17,20251115,20260223,1320.0
1361,44,16,20251115,20260218,1320.0
1501,44,18,20251121,20260207,1320.0
1503,44,18,20251121,20260426,1320.0
1624,44,15,20251115,20260126,1320.0
1663,44,18,20260126,20260601,1320.0
1792,44,21,20260126,20260601,1320.0
0041,43,16,20251127,20260211,1290.0
0168,43,16,20251127,20260211,1290.0
0171,43,12,20251127,20260303,1290.0
0283,43,16,20251213,20260220,1290.0
0299,43,17,20251127,20260220,1290.0
0304,43,14,20251205,20260310,1290.0
0424,43,17,20260111,20260330,1290.0
0546,43,15,20251213,20260220,1290.0
0560,43,14,20251127,20260306,1290.0
0812,43,13,20251213,20260222,1290.0
1224,43,16,20251115,20260222,1290.0
1226,43,16,20251115,20260222,1290.0
1234,43,17,20251122,20260208,1290.0
1370,43,17,20251124,20260426,1290.0
1371,43,16,20251124,20260426,1290.0
1399,43,16,20260208,20260601,1290.0
1471,43,16,20251115,20260126,1290.0
1504,43,17,20251124,20260426,1290.0
1620,43,15,20251115,20260126,1290.0
1622,43,18,20251115,20260223,1290.0
1747,43,15,20251119,20260120,1290.0
1748,43,15,20251119,20260120,1290.0
1749,43,15,20251115,20260105,1290.0
1750,43,15,20251115,20260126,1290.0
1754,43,16,20251115,20260108,1290.0
1768,43,15,20251125,20260427,1290.0
0040,42,15,20251127,20260211,1260.0
0161,42,14,20260110,20260308,1260.0
0173,42,15,20251205,20260310,1260.0
0284,42,16,20251214,20260220,1260.0
0435,42,14,20251205,20260303,1260.0
0678,42,14,20251213,20260222,1260.0
0963,42,14,20251122,20260306,1260.0
0973,42,14,20251207,20260303,1260.0
1088,42,16,20251115,20260222,1260.0
1089,42,17,20251115,20260222,1260.0
1099,42,16,20251122,20260208,1260.0
1105,42,14,20251128,20260427,1260.0
1218,42,15,20251213,20260126,1260.0
1369,42,18,20251121,20260426,1260.0
1382,42,16,20251203,20260407,1260.0
1511,42,17,20251201,20260428,1260.0
1522,42,13,20251231,20260403,1260.0
1531,42,19,20260126,20260601,1260.0
1603,42,16,20251115,20260126,1260.0
1637,42,17,20251124,20260426,1260.0
0044,41,15,20251205,20260303,1230.0
0179,41,14,20251205,20260311,1230.0
0545,41,15,20251213,20260222,1230.0
0571,41,13,20251215,20260310,1230.0
0693,41,13,20260116,20260306,1230.0
0695,41,16,20251204,20260306,1230.0
0702,41,13,20251209,20260306,1230.0
0809,41,16,20251208,20260127,1230.0
0829,41,17,20251122,20260306,1230.0
0839,41,14,20251207,20260310,1230.0
0969,41,15,20251128,20260330,1230.0
1082,41,15,20251213,20260222,1230.0
1107,41,13,20251128,20260303,1230.0
1109,41,13,20251207,20260306,1230.0
1227,41,17,20251115,20260330,1230.0
1378,41,15,20251201,20260428,1230.0
1492,41,14,20251115,20260126,1230.0
1494,41,13,20251115,20260127,1230.0
1518,41,17,20251206,20260429,1230.0
1519,41,15,20251208,20260318,1230.0
1613,41,15,20251119,20260120,1230.0
1746,41,15,20251119,20260120,1230.0
1767,41,16,20251125,20260401,1230.0
1778,41,15,20251206,20260429,1230.0
0043,40,14,20251127,20260303,1200.0
0167,40,15,20251127,20260220,1200.0
0300,40,14,20251127,20260213,1200.0
0301,40,13,20251127,20260303,1200.0
0302,40,12,20251127,20260303,1200.0
0415,40,15,20251214,20260220,1200.0
0432,40,14,20251204,20260213,1200.0
0556,40,15,20260110,20260330,1200.0
0562,40,15,20251127,20260220,1200.0
0688,40,15,20260109,20260330,1200.0
0700,40,14,20251204,20260306,1200.0
1068,40,15,20251115,20260123,1200.0
1069,40,15,20251115,20260126,1200.0
1078,40,15,20251207,20260123,1200.0
1123,40,15,20260101,20260528,1200.0
1202,40,15,20251115,20260120,1200.0
1211,40,15,20251121,20260120,1200.0
1242,40,14,20251201,20260303,1200.0
1338,40,15,20251115,20260126,1200.0
1368,40,17,20251121,20260207,1200.0
1481,40,14,20251120,20260120,1200.0
1487,40,16,20251213,20260127,1200.0
1491,40,17,20251115,20260223,1200.0
1506,40,16,20251124,20260427,1200.0
1520,40,15,20251208,20260430,1200.0
1777,40,15,20251206,20260312,1200.0
0037,39,15,20251127,20260208,1170.0
0165,39,15,20251127,20260208,1170.0
0166,39,14,20251127,20260208,1170.0
0279,39,13,20251209,20260218,1170.0
0281,39,13,20251213,20260220,1170.0
0295,39,15,20251127,20260306,1170.0
0544,39,14,20251213,20260222,1170.0
0547,39,15,20251214,20260220,1170.0
0568,39,14,20251205,20260306,1170.0
0691,39,14,20260112,20260306,1170.0
0838,39,13,20251207,20260303,1170.0
1079,39,13,20251208,20260123,1170.0
1102,39,15,20251124,20260426,1170.0
1204,39,15,20251115,20260126,1170.0
1222,39,14,20251115,20260223,1170.0
1225,39,14,20251115,20260222,1170.0
1241,39,14,20251128,20260218,1170.0
1525,39,12,20251231,20260528,1170.0
1627,39,11,20251115,20260222,1170.0
1632,39,15,20251120,20260222,1170.0
1647,39,16,20251206,20260312,1170.0
1652,39,13,20251208,20260318,1170.0
1653,39,14,20251228,20260403,1170.0
1743,39,14,20251119,20260120,1170.0
0038,38,14,20251127,20260208,1140.0
0275,38,15,20251129,20260122,1140.0
0297,38,14,20251127,20260220,1140.0
0410,38,13,20251209,20260218,1140.0
0411,38,13,20251210,20260218,1140.0
0413,38,14,20251213,20260220,1140.0
0429,38,14,20251127,20260220,1140.0
0436,38,14,20251205,20260310,1140.0
0555,38,14,20260109,20260330,1140.0
0563,38,15,20251127,20260220,1140.0
0674,38,13,20251207,20260123,1140.0
0675,38,15,20251208,20260222,1140.0
0692,38,15,20260114,20260306,1140.0
0697,38,14,20251204,20260211,1140.0
0853,38,14,20260101,20260403,1140.0
1086,38,11,20251217,20260127,1140.0
