metric,lower,upper,matched_n,median_radial_arcsec,p84_radial_arcsec,median_dra_cosdec_arcsec,median_ddec_arcsec,robust_sigma_dra_arcsec,robust_sigma_ddec_arcsec
l2_catalog_source_count,80000.0,160000.0,41394,0.2724982494052256,0.5866742906154984,0.0021943262402377432,0.03834512805198642,0.23147029149332668,0.22074129650679533
l2_catalog_source_count,160000.0,inf,1784,0.4652336958919826,0.8252675580912698,-0.02589705180015523,0.10250497707442463,0.3413828352798919,0.3653012421363671
sky_background_adu,0.0,100.0,1,0.13762326415944745,0.13762326415944745,-0.10682525795771135,-0.08676708535020339,0.0,0.0
sky_background_adu,100.0,300.0,0,,,,,,
sky_background_adu,300.0,1000.0,158962,0.25967556519213486,0.5211815675213455,-0.03330829617149976,0.020184184192129084,0.21962899753770168,0.2101233613610556
sky_background_adu,1000.0,3000.0,306749,0.2624880676296033,0.527239205411352,-0.01220033527147014,0.02183609312567114,0.22027276342986482,0.21593665469663617
sky_background_adu,3000.0,10000.0,61532,0.27671751052581406,0.5526869805047938,-0.0010807338578466825,0.03169938478269074,0.23225357164814275,0.225051717465739
sky_background_adu,10000.0,30000.0,7361,0.2789185711541415,0.5749854727713188,-0.02251391567731817,0.028327913579673236,0.23191319765302612,0.2255952176968367
sky_background_adu,30000.0,inf,175,0.27480492262642875,0.6619757812610475,-0.05000277250072097,0.026499987778549894,0.22977041732760015,0.23039884860303522
header_limiting_magnitude,12.0,14.0,0,,,,,,
header_limiting_magnitude,14.0,15.0,0,,,,,,
header_limiting_magnitude,15.0,16.0,9,0.37276783396884994,0.7920548633813304,0.05205834690716402,-0.005519904622985905,0.36008179023576087,0.25104307280362165
header_limiting_magnitude,16.0,17.0,34,0.2757291580671922,0.583457100395983,0.021771493095838017,-0.04104488158439279,0.2293603952420337,0.15690528033427797
header_limiting_magnitude,17.0,18.0,210,0.29443241280328747,0.5643459228396377,-0.019601999744047395,0.01887216445357609,0.22021596977179325,0.22294806752776328
header_limiting_magnitude,18.0,19.0,4685,0.3021994331047123,0.6287305485477133,-0.011427051756296954,0.01729497896576504,0.25073149998124666,0.24884636737887644
header_limiting_magnitude,19.0,20.0,77162,0.2886950784987592,0.5765463665895916,-0.007542891088413377,0.0254227603960544,0.24048919081895262,0.23567574101050753
header_limiting_magnitude,20.0,21.0,419866,0.2600224771721624,0.5215037793955767,-0.016530340649217296,0.021116529433840014,0.21902611685926734,0.21297331746575027
header_limiting_magnitude,21.0,22.0,32806,0.24811194824603505,0.4946404418389431,-0.050422346696961655,0.03291321542349124,0.21037831244240437,0.19712765831325338
header_limiting_magnitude,22.0,23.0,8,0.8181894910556877,0.9246664578497152,0.2601272931599594,-0.6503735419896017,0.3483007324167937,0.3807915440430648
header_limiting_magnitude,23.0,25.0,0,,,,,,
moon_separation_deg,0.0,30.0,14681,0.2861497108593397,0.55811804051204,0.011986796070052078,0.04182469083389151,0.244209423363156,0.21952593514097282
moon_separation_deg,30.0,60.0,79220,0.27078962702647835,0.5430473481235586,-0.014609088944386492,0.02548275424274493,0.22295413741440595,0.22576644322352074
moon_separation_deg,60.0,90.0,91916,0.2663793049298711,0.5371250075930344,-0.005134344612154157,0.02817902609413281,0.22114842479773655,0.22008143843392602
moon_separation_deg,90.0,120.0,120769,0.2622727502788982,0.5251585134072646,-0.010579711345391886,0.026778335005417375,0.22134999948298614,0.21388514237825543
moon_separation_deg,120.0,150.0,112006,0.262635702119282,0.5259646051225569,-0.03001144215691435,0.020382319368295043,0.22261251658394537,0.21344126611511202
moon_separation_deg,150.0,180.001,116188,0.25533413708749847,0.5144281715614929,-0.027602411655615118,0.01149062298111403,0.21727585663576263,0.20678075698685908
moon_illumination_fraction,0.0,0.25,231594,0.2590187468782732,0.521659746312313,-0.012801753827163701,0.02059110133760811,0.21987603184954793,0.21112095364063033
moon_illumination_fraction,0.25,0.5,91507,0.26350629633856804,0.5276174578600373,-0.026427484975033968,0.022419134209883396,0.2210779970507935,0.2156461912820391
moon_illumination_fraction,0.5,0.75,99908,0.2631531445585971,0.5223361938406087,-0.03142738487104331,0.022996723974699762,0.2191612707851052,0.21514301489174076
moon_illumination_fraction,0.75,1.001,111771,0.27326507705490755,0.5503927043566076,-0.0072423732718081245,0.026193299158450145,0.22753324161096578,0.224209373447146
