condition,condition_label,availability,timestamp_utc,value,unit,night,field_id,pair_id,match_status,mode,source_kind,source_column,source_path,availability_reason,input_manifest_hash
moon_separation,Moon separation,archived,2026-04-20T12:32:55Z,69.30878812409273,deg,20260420,1248,20260420:1248:0002,matched,normal,scheduler_example,moon_sep_deg,/Users/yunaoxiao/Desktop/smt_asteroid/paper_analysis_20260803/snapshot/scheduler/scheduler_example_20260420.csv,,dbb46a8e7c9ac8b676de38304feef9c2622d52b25c200fe3ca598e1949fb0263
moon_separation,Moon separation,archived,2026-04-20T12:34:15Z,71.6605878189373,deg,20260420,0979,20260420:0979:0002,matched,normal,scheduler_example,moon_sep_deg,/Users/yunaoxiao/Desktop/smt_asteroid/paper_analysis_20260803/snapshot/scheduler/scheduler_example_20260420.csv,,dbb46a8e7c9ac8b676de38304feef9c2622d52b25c200fe3ca598e1949fb0263
moon_separation,Moon separation,archived,2026-04-20T12:35:35Z,73.3531697363007,deg,20260420,0845,20260420:0845:0002,matched,normal,scheduler_example,moon_sep_deg,/Users/yunaoxiao/Desktop/smt_asteroid/paper_analysis_20260803/snapshot/scheduler/scheduler_example_20260420.csv,,dbb46a8e7c9ac8b676de38304feef9c2622d52b25c200fe3ca598e1949fb0263
moon_separation,Moon separation,archived,2026-04-20T12:36:55Z,75.39167278774254,deg,20260420,0711,20260420:0711:0002,matched,normal,scheduler_example,moon_sep_deg,/Users/yunaoxiao/Desktop/smt_asteroid/paper_analysis_20260803/snapshot/scheduler/scheduler_example_20260420.csv,,dbb46a8e7c9ac8b676de38304feef9c2622d52b25c200fe3ca598e1949fb0263
moon_separation,Moon separation,archived,2026-04-20T12:38:15Z,72.93062826048718,deg,20260420,1115,20260420:1115:0002,matched,normal,scheduler_example,moon_sep_deg,/Users/yunaoxiao/Desktop/smt_asteroid/paper_analysis_20260803/snapshot/scheduler/scheduler_example_20260420.csv,,dbb46a8e7c9ac8b676de38304feef9c2622d52b25c200fe3ca598e1949fb0263
moon_separation,Moon separation,archived,2026-04-20T12:39:35Z,71.9134570321655,deg,20260420,1249,20260420:1249:0002,matched,normal,scheduler_example,moon_sep_deg,/Users/yunaoxiao/Desktop/smt_asteroid/paper_analysis_20260803/snapshot/scheduler/scheduler_example_20260420.csv,,dbb46a8e7c9ac8b676de38304feef9c2622d52b25c200fe3ca598e1949fb0263
moon_separation,Moon separation,archived,2026-04-20T12:40:55Z,74.25828049441202,deg,20260420,0980,20260420:0980:0002,matched,normal,scheduler_example,moon_sep_deg,/Users/yunaoxiao/Desktop/smt_asteroid/paper_analysis_20260803/snapshot/scheduler/scheduler_example_20260420.csv,,dbb46a8e7c9ac8b676de38304feef9c2622d52b25c200fe3ca598e1949fb0263
moon_separation,Moon separation,archived,2026-04-20T12:42:15Z,71.23437417040299,deg,20260420,1383,20260420:1383:0002,matched,normal,scheduler_example,moon_sep_deg,/Users/yunaoxiao/Desktop/smt_asteroid/paper_analysis_20260803/snapshot/scheduler/scheduler_example_20260420.csv,,dbb46a8e7c9ac8b676de38304feef9c2622d52b25c200fe3ca598e1949fb0263
moon_separation,Moon separation,archived,2026-04-20T12:43:35Z,75.93408224969755,deg,20260420,0846,20260420:0846:0002,matched,normal,scheduler_example,moon_sep_deg,/Users/yunaoxiao/Desktop/smt_asteroid/paper_analysis_20260803/snapshot/scheduler/scheduler_example_20260420.csv,,dbb46a8e7c9ac8b676de38304feef9c2622d52b25c200fe3ca598e1949fb0263
moon_separation,Moon separation,archived,2026-04-20T12:44:55Z,77.96980047882323,deg,20260420,0712,20260420:0712:0002,matched,normal,scheduler_example,moon_sep_deg,/Users/yunaoxiao/Desktop/smt_asteroid/paper_analysis_20260803/snapshot/scheduler/scheduler_example_20260420.csv,,dbb46a8e7c9ac8b676de38304feef9c2622d52b25c200fe3ca598e1949fb0263
moon_separation,Moon separation,archived,2026-04-20T12:46:15Z,75.5180591952857,deg,20260420,1116,20260420:1116:0002,matched,normal,scheduler_example,moon_sep_deg,/Users/yunaoxiao/Desktop/smt_asteroid/paper_analysis_20260803/snapshot/scheduler/scheduler_example_20260420.csv,,dbb46a8e7c9ac8b676de38304feef9c2622d52b25c200fe3ca598e1949fb0263
moon_separation,Moon separation,archived,2026-04-20T12:47:35Z,74.5039526888299,deg,20260420,1250,20260420:1250:0002,matched,normal,scheduler_example,moon_sep_deg,/Users/yunaoxiao/Desktop/smt_asteroid/paper_analysis_20260803/snapshot/scheduler/scheduler_example_20260420.csv,,dbb46a8e7c9ac8b676de38304feef9c2622d52b25c200fe3ca598e1949fb0263
moon_separation,Moon separation,archived,2026-04-20T12:48:55Z,76.8422573208326,deg,20260420,0981,20260420:0981:0002,matched,normal,scheduler_example,moon_sep_deg,/Users/yunaoxiao/Desktop/smt_asteroid/paper_analysis_20260803/snapshot/scheduler/scheduler_example_20260420.csv,,dbb46a8e7c9ac8b676de38304feef9c2622d52b25c200fe3ca598e1949fb0263
moon_separation,Moon separation,archived,2026-04-20T12:50:15Z,78.52848886346679,deg,20260420,0847,20260420:0847:0002,matched,normal,scheduler_example,moon_sep_deg,/Users/yunaoxiao/Desktop/smt_asteroid/paper_analysis_20260803/snapshot/scheduler/scheduler_example_20260420.csv,,dbb46a8e7c9ac8b676de38304feef9c2622d52b25c200fe3ca598e1949fb0263
moon_separation,Moon separation,archived,2026-04-20T12:51:35Z,73.81449815989968,deg,20260420,1384,20260420:1384:0002,matched,normal,scheduler_example,moon_sep_deg,/Users/yunaoxiao/Desktop/smt_asteroid/paper_analysis_20260803/snapshot/scheduler/scheduler_example_20260420.csv,,dbb46a8e7c9ac8b676de38304feef9c2622d52b25c200fe3ca598e1949fb0263
