healpix_nside,healpix_ordering,pixel,ra_deg,dec_deg,matched_detection_n
64,RING,9424,112.49999999999999,37.921650784291785,63
64,RING,9425,113.90625,37.921650784291785,38
64,RING,9426,115.31249999999997,37.921650784291785,42
64,RING,9427,116.71875000000001,37.921650784291785,32
64,RING,9428,118.125,37.921650784291785,24
64,RING,9429,119.53125,37.921650784291785,27
64,RING,9430,120.9375,37.921650784291785,13
64,RING,9431,122.34374999999999,37.921650784291785,24
64,RING,9432,123.74999999999999,37.921650784291785,6
64,RING,9433,125.15624999999999,37.921650784291785,1
64,RING,9435,127.96874999999997,37.921650784291785,1
64,RING,9436,129.375,37.921650784291785,2
64,RING,9437,130.78124999999997,37.921650784291785,1
64,RING,9438,132.1875,37.921650784291785,2
64,RING,9439,133.59375,37.921650784291785,2
64,RING,9440,135.0,37.921650784291785,3
64,RING,9442,137.8125,37.921650784291785,3
64,RING,9443,139.21875,37.921650784291785,1
64,RING,9444,140.62499999999997,37.921650784291785,4
64,RING,9445,142.03125,37.921650784291785,2
64,RING,9446,143.43749999999997,37.921650784291785,10
64,RING,9447,144.84375,37.921650784291785,6
64,RING,9449,147.65625,37.921650784291785,2
64,RING,9451,150.46875,37.921650784291785,2
64,RING,9455,156.09374999999997,37.921650784291785,3
64,RING,9625,35.85937499999999,37.16889965599944,2
64,RING,9627,38.671875,37.16889965599944,1
64,RING,9628,40.078125,37.16889965599944,3
64,RING,9632,45.703125,37.16889965599944,1
64,RING,9633,47.109375,37.16889965599944,1
64,RING,9634,48.51562499999999,37.16889965599944,1
64,RING,9636,51.32812499999999,37.16889965599944,2
64,RING,9637,52.734375,37.16889965599944,10
64,RING,9638,54.140625,37.16889965599944,16
64,RING,9639,55.546875,37.16889965599944,26
64,RING,9640,56.953125,37.16889965599944,27
64,RING,9641,58.35937500000001,37.16889965599944,43
64,RING,9642,59.765625,37.16889965599944,28
64,RING,9643,61.17187499999999,37.16889965599944,54
64,RING,9644,62.57812499999999,37.16889965599944,40
64,RING,9645,63.984374999999986,37.16889965599944,37
64,RING,9646,65.39062499999999,37.16889965599944,57
64,RING,9647,66.796875,37.16889965599944,62
64,RING,9648,68.203125,37.16889965599944,32
64,RING,9649,69.609375,37.16889965599944,41
64,RING,9650,71.015625,37.16889965599944,60
64,RING,9651,72.421875,37.16889965599944,17
64,RING,9652,73.828125,37.16889965599944,12
64,RING,9653,75.234375,37.16889965599944,34
64,RING,9654,76.64062499999999,37.16889965599944,39
64,RING,9655,78.04687499999999,37.16889965599944,24
64,RING,9656,79.45312499999999,37.16889965599944,49
64,RING,9657,80.859375,37.16889965599944,39
64,RING,9658,82.265625,37.16889965599944,22
64,RING,9659,83.671875,37.16889965599944,55
64,RING,9660,85.078125,37.16889965599944,41
64,RING,9661,86.484375,37.16889965599944,23
64,RING,9662,87.890625,37.16889965599944,30
64,RING,9663,89.29687499999999,37.16889965599944,46
64,RING,9664,90.703125,37.16889965599944,46
64,RING,9665,92.10937499999999,37.16889965599944,41
64,RING,9666,93.51562499999999,37.16889965599944,24
64,RING,9667,94.92187499999999,37.16889965599944,37
64,RING,9668,96.328125,37.16889965599944,49
64,RING,9669,97.734375,37.16889965599944,52
64,RING,9670,99.140625,37.16889965599944,41
64,RING,9671,100.546875,37.16889965599944,50
64,RING,9672,101.953125,37.16889965599944,51
64,RING,9673,103.359375,37.16889965599944,76
64,RING,9674,104.76562499999999,37.16889965599944,35
64,RING,9675,106.171875,37.16889965599944,34
64,RING,9676,107.57812499999999,37.16889965599944,54
64,RING,9677,108.98437499999999,37.16889965599944,26
64,RING,9678,110.39062499999999,37.16889965599944,48
64,RING,9679,111.796875,37.16889965599944,40
64,RING,9680,113.203125,37.16889965599944,41
64,RING,9681,114.60937499999999,37.16889965599944,34
64,RING,9682,116.01562499999999,37.16889965599944,37
