night,plan_archive_available,plan_active_acquired_cohort,plan_exposure_n,acquired_strict_frame_n,plan_active_acquired_frame_denominator_n,plan_active_cohort_matched_frame_n,full_interval_acquired_without_plan_archive_n,multiset_matched_frame_n,acquired_frame_plan_compliance,planned_frame_realization,normal_planned_n,normal_matched_n,near_sun_planned_n,near_sun_matched_n,planned_revisit_interval_median_s,actual_revisit_interval_median_s,actual_gap_proxy_median_s,quality_code,input_manifest_hash
20251225,False,False,0,328,0,0,328,0,,,0,0,0,0,,,53.315,quality_ok,a6a11f498afd43f99b5add50f0c61e7005c7dcbcab19c1c7b4ab62776daf32bc
20251226,False,False,0,627,0,0,627,0,,,0,0,0,0,,,52.091499999999996,quarantine_unknown,a6a11f498afd43f99b5add50f0c61e7005c7dcbcab19c1c7b4ab62776daf32bc
20251227,False,False,0,474,0,0,474,0,,,0,0,0,0,,,53.539,quality_ok,a6a11f498afd43f99b5add50f0c61e7005c7dcbcab19c1c7b4ab62776daf32bc
20251228,False,False,0,498,0,0,498,0,,,0,0,0,0,,,53.400999999999996,quality_ok,a6a11f498afd43f99b5add50f0c61e7005c7dcbcab19c1c7b4ab62776daf32bc
20251229,False,False,0,471,0,0,471,0,,,0,0,0,0,,,53.498,quality_ok,a6a11f498afd43f99b5add50f0c61e7005c7dcbcab19c1c7b4ab62776daf32bc
20251230,False,False,0,436,0,0,436,0,,,0,0,0,0,,,52.949,quality_ok,a6a11f498afd43f99b5add50f0c61e7005c7dcbcab19c1c7b4ab62776daf32bc
20251231,False,False,0,451,0,0,451,0,,,0,0,0,0,,,54.4855,quality_ok,a6a11f498afd43f99b5add50f0c61e7005c7dcbcab19c1c7b4ab62776daf32bc
20260101,False,False,0,444,0,0,444,0,,,0,0,0,0,,,51.624500000000005,quality_ok,a6a11f498afd43f99b5add50f0c61e7005c7dcbcab19c1c7b4ab62776daf32bc
20260102,False,False,0,518,0,0,518,0,,,0,0,0,0,,,53.128,quality_ok,a6a11f498afd43f99b5add50f0c61e7005c7dcbcab19c1c7b4ab62776daf32bc
20260103,False,False,0,118,0,0,118,0,,,0,0,0,0,,,52.702,quality_ok,a6a11f498afd43f99b5add50f0c61e7005c7dcbcab19c1c7b4ab62776daf32bc
20260104,False,False,0,497,0,0,497,0,,,0,0,0,0,,,52.533500000000004,quality_ok,a6a11f498afd43f99b5add50f0c61e7005c7dcbcab19c1c7b4ab62776daf32bc
20260105,False,False,0,508,0,0,508,0,,,0,0,0,0,,,52.812,quality_ok,a6a11f498afd43f99b5add50f0c61e7005c7dcbcab19c1c7b4ab62776daf32bc
20260106,False,False,0,435,0,0,435,0,,,0,0,0,0,,,57.116,quality_ok,a6a11f498afd43f99b5add50f0c61e7005c7dcbcab19c1c7b4ab62776daf32bc
20260107,False,False,0,464,0,0,464,0,,,0,0,0,0,,,53.67,quality_ok,a6a11f498afd43f99b5add50f0c61e7005c7dcbcab19c1c7b4ab62776daf32bc
20260108,False,False,0,226,0,0,226,0,,,0,0,0,0,,,58.063,quality_ok,a6a11f498afd43f99b5add50f0c61e7005c7dcbcab19c1c7b4ab62776daf32bc
20260109,False,False,0,271,0,0,271,0,,,0,0,0,0,,,55.8785,quality_ok,a6a11f498afd43f99b5add50f0c61e7005c7dcbcab19c1c7b4ab62776daf32bc
20260110,False,False,0,392,0,0,392,0,,,0,0,0,0,,,55.742000000000004,quality_ok,a6a11f498afd43f99b5add50f0c61e7005c7dcbcab19c1c7b4ab62776daf32bc
20260111,False,False,0,347,0,0,347,0,,,0,0,0,0,,,53.122,excluded_primary,a6a11f498afd43f99b5add50f0c61e7005c7dcbcab19c1c7b4ab62776daf32bc
20260112,False,False,0,271,0,0,271,0,,,0,0,0,0,,,52.975500000000004,quality_ok,a6a11f498afd43f99b5add50f0c61e7005c7dcbcab19c1c7b4ab62776daf32bc
20260113,False,False,0,0,0,0,0,0,,,0,0,0,0,,,,no_strict_raw,a6a11f498afd43f99b5add50f0c61e7005c7dcbcab19c1c7b4ab62776daf32bc
20260114,False,False,0,405,0,0,405,0,,,0,0,0,0,,,53.928000000000004,quality_ok,a6a11f498afd43f99b5add50f0c61e7005c7dcbcab19c1c7b4ab62776daf32bc
20260115,False,False,0,413,0,0,413,0,,,0,0,0,0,,,54.8705,quality_ok,a6a11f498afd43f99b5add50f0c61e7005c7dcbcab19c1c7b4ab62776daf32bc
