night,pair_id,field_id,cycle_id,repeat,mode,planned_start_utc,actual_start_utc,time_residual_s,abs_time_residual_s,match_rule,input_manifest_hash
20260420,20260420:1250:0002,1250,1,2,normal,2026-04-20T12:47:35Z,2026-04-20T13:12:55.105000Z,1520.105,1520.105,monotonic_minimum_total_absolute_time_residual,dbb46a8e7c9ac8b676de38304feef9c2622d52b25c200fe3ca598e1949fb0263
20260420,20260420:0981:0002,0981,1,2,normal,2026-04-20T12:48:55Z,2026-04-20T13:14:17.855000Z,1522.855,1522.855,monotonic_minimum_total_absolute_time_residual,dbb46a8e7c9ac8b676de38304feef9c2622d52b25c200fe3ca598e1949fb0263
20260420,20260420:0847:0002,0847,1,2,normal,2026-04-20T12:50:15Z,2026-04-20T13:15:33.046000Z,1518.046,1518.046,monotonic_minimum_total_absolute_time_residual,dbb46a8e7c9ac8b676de38304feef9c2622d52b25c200fe3ca598e1949fb0263
20260420,20260420:1384:0002,1384,1,2,normal,2026-04-20T12:51:35Z,2026-04-20T13:17:07.674000Z,1532.674,1532.674,monotonic_minimum_total_absolute_time_residual,dbb46a8e7c9ac8b676de38304feef9c2622d52b25c200fe3ca598e1949fb0263
20260420,20260420:0713:0002,0713,1,2,normal,2026-04-20T12:52:55Z,2026-04-20T13:18:47.764000Z,1552.764,1552.764,monotonic_minimum_total_absolute_time_residual,dbb46a8e7c9ac8b676de38304feef9c2622d52b25c200fe3ca598e1949fb0263
20260420,20260420:1517:0002,1517,1,2,normal,2026-04-20T12:54:15Z,2026-04-20T13:20:32.397000Z,1577.397,1577.397,monotonic_minimum_total_absolute_time_residual,dbb46a8e7c9ac8b676de38304feef9c2622d52b25c200fe3ca598e1949fb0263
20260420,20260420:1117:0002,1117,1,2,normal,2026-04-20T12:55:35Z,2026-04-20T13:22:04.420000Z,1589.42,1589.42,monotonic_minimum_total_absolute_time_residual,dbb46a8e7c9ac8b676de38304feef9c2622d52b25c200fe3ca598e1949fb0263
20260420,20260420:0978:0003,0978,1,3,normal,2026-04-20T12:57:35Z,2026-04-20T13:23:36.452000Z,1561.452,1561.452,monotonic_minimum_total_absolute_time_residual,dbb46a8e7c9ac8b676de38304feef9c2622d52b25c200fe3ca598e1949fb0263
20260420,20260420:0844:0003,0844,1,3,normal,2026-04-20T12:58:55Z,2026-04-20T13:24:52.406000Z,1557.406,1557.406,monotonic_minimum_total_absolute_time_residual,dbb46a8e7c9ac8b676de38304feef9c2622d52b25c200fe3ca598e1949fb0263
20260420,20260420:0710:0003,0710,1,3,normal,2026-04-20T13:00:15Z,2026-04-20T13:26:07.071000Z,1552.071,1552.071,monotonic_minimum_total_absolute_time_residual,dbb46a8e7c9ac8b676de38304feef9c2622d52b25c200fe3ca598e1949fb0263
20260420,20260420:1114:0003,1114,1,3,normal,2026-04-20T13:01:35Z,2026-04-20T13:27:37.424000Z,1562.424,1562.424,monotonic_minimum_total_absolute_time_residual,dbb46a8e7c9ac8b676de38304feef9c2622d52b25c200fe3ca598e1949fb0263
20260420,20260420:1248:0003,1248,1,3,normal,2026-04-20T13:02:55Z,2026-04-20T13:28:50.090000Z,1555.09,1555.09,monotonic_minimum_total_absolute_time_residual,dbb46a8e7c9ac8b676de38304feef9c2622d52b25c200fe3ca598e1949fb0263
20260420,20260420:0979:0003,0979,1,3,normal,2026-04-20T13:04:15Z,2026-04-20T13:30:13.168000Z,1558.168,1558.168,monotonic_minimum_total_absolute_time_residual,dbb46a8e7c9ac8b676de38304feef9c2622d52b25c200fe3ca598e1949fb0263
20260420,20260420:0845:0003,0845,1,3,normal,2026-04-20T13:05:35Z,2026-04-20T13:31:27.695000Z,1552.695,1552.695,monotonic_minimum_total_absolute_time_residual,dbb46a8e7c9ac8b676de38304feef9c2622d52b25c200fe3ca598e1949fb0263
20260420,20260420:0711:0003,0711,1,3,normal,2026-04-20T13:06:55Z,2026-04-20T13:32:42.277000Z,1547.277,1547.277,monotonic_minimum_total_absolute_time_residual,dbb46a8e7c9ac8b676de38304feef9c2622d52b25c200fe3ca598e1949fb0263
20260420,20260420:1115:0003,1115,1,3,normal,2026-04-20T13:08:15Z,2026-04-20T13:34:12.173000Z,1557.173,1557.173,monotonic_minimum_total_absolute_time_residual,dbb46a8e7c9ac8b676de38304feef9c2622d52b25c200fe3ca598e1949fb0263
