night,pair_id,field_id,cycle_id,repeat,mode,match_status,match_rule,planned_start_utc,actual_start_utc,actual_time_source,computed_time_residual_s,raw_file_name,raw_sequence_id,l2_file_name,input_manifest_hash
20260420,20260420:0981:0002,0981,1,2,normal,matched,monotonic_minimum_total_absolute_time_residual,2026-04-20T12:48:55Z,2026-04-20T13:14:17.855000Z,l2_obs_time_utc,1522.855,OBJ_MP_0981_0098.fits,0098,OBJ_MP_0981_0098_cat.fits.gz,dbb46a8e7c9ac8b676de38304feef9c2622d52b25c200fe3ca598e1949fb0263
20260420,20260420:0847:0002,0847,1,2,normal,matched,monotonic_minimum_total_absolute_time_residual,2026-04-20T12:50:15Z,2026-04-20T13:15:33.046000Z,l2_obs_time_utc,1518.046,OBJ_MP_0847_0099.fits,0099,OBJ_MP_0847_0099_cat.fits.gz,dbb46a8e7c9ac8b676de38304feef9c2622d52b25c200fe3ca598e1949fb0263
20260420,20260420:1384:0002,1384,1,2,normal,matched,monotonic_minimum_total_absolute_time_residual,2026-04-20T12:51:35Z,2026-04-20T13:17:07.674000Z,l2_obs_time_utc,1532.674,OBJ_MP_1384_0100.fits,0100,OBJ_MP_1384_0100_cat.fits.gz,dbb46a8e7c9ac8b676de38304feef9c2622d52b25c200fe3ca598e1949fb0263
20260420,20260420:0713:0002,0713,1,2,normal,matched,monotonic_minimum_total_absolute_time_residual,2026-04-20T12:52:55Z,2026-04-20T13:18:47.764000Z,l2_obs_time_utc,1552.764,OBJ_MP_0713_0101.fits,0101,OBJ_MP_0713_0101_cat.fits.gz,dbb46a8e7c9ac8b676de38304feef9c2622d52b25c200fe3ca598e1949fb0263
20260420,20260420:1517:0002,1517,1,2,normal,matched,monotonic_minimum_total_absolute_time_residual,2026-04-20T12:54:15Z,2026-04-20T13:20:32.397000Z,l2_obs_time_utc,1577.397,OBJ_MP_1517_0102.fits,0102,OBJ_MP_1517_0102_cat.fits.gz,dbb46a8e7c9ac8b676de38304feef9c2622d52b25c200fe3ca598e1949fb0263
20260420,20260420:1117:0002,1117,1,2,normal,matched,monotonic_minimum_total_absolute_time_residual,2026-04-20T12:55:35Z,2026-04-20T13:22:04.420000Z,l2_obs_time_utc,1589.42,OBJ_MP_1117_0103.fits,0103,OBJ_MP_1117_0103_cat.fits.gz,dbb46a8e7c9ac8b676de38304feef9c2622d52b25c200fe3ca598e1949fb0263
20260420,20260420:0978:0003,0978,1,3,normal,matched,monotonic_minimum_total_absolute_time_residual,2026-04-20T12:57:35Z,2026-04-20T13:23:36.452000Z,l2_obs_time_utc,1561.452,OBJ_MP_0978_0104.fits,0104,OBJ_MP_0978_0104_cat.fits.gz,dbb46a8e7c9ac8b676de38304feef9c2622d52b25c200fe3ca598e1949fb0263
20260420,20260420:0844:0003,0844,1,3,normal,matched,monotonic_minimum_total_absolute_time_residual,2026-04-20T12:58:55Z,2026-04-20T13:24:52.406000Z,l2_obs_time_utc,1557.406,OBJ_MP_0844_0105.fits,0105,OBJ_MP_0844_0105_cat.fits.gz,dbb46a8e7c9ac8b676de38304feef9c2622d52b25c200fe3ca598e1949fb0263
20260420,20260420:0710:0003,0710,1,3,normal,matched,monotonic_minimum_total_absolute_time_residual,2026-04-20T13:00:15Z,2026-04-20T13:26:07.071000Z,l2_obs_time_utc,1552.071,OBJ_MP_0710_0106.fits,0106,OBJ_MP_0710_0106_cat.fits.gz,dbb46a8e7c9ac8b676de38304feef9c2622d52b25c200fe3ca598e1949fb0263
20260420,20260420:1114:0003,1114,1,3,normal,matched,monotonic_minimum_total_absolute_time_residual,2026-04-20T13:01:35Z,2026-04-20T13:27:37.424000Z,l2_obs_time_utc,1562.424,OBJ_MP_1114_0107.fits,0107,OBJ_MP_1114_0107_cat.fits.gz,dbb46a8e7c9ac8b676de38304feef9c2622d52b25c200fe3ca598e1949fb0263
20260420,20260420:1248:0003,1248,1,3,normal,matched,monotonic_minimum_total_absolute_time_residual,2026-04-20T13:02:55Z,2026-04-20T13:28:50.090000Z,l2_obs_time_utc,1555.09,OBJ_MP_1248_0108.fits,0108,OBJ_MP_1248_0108_cat.fits.gz,dbb46a8e7c9ac8b676de38304feef9c2622d52b25c200fe3ca598e1949fb0263
20260420,20260420:0979:0003,0979,1,3,normal,matched,monotonic_minimum_total_absolute_time_residual,2026-04-20T13:04:15Z,2026-04-20T13:30:13.168000Z,l2_obs_time_utc,1558.168,OBJ_MP_0979_0109.fits,0109,OBJ_MP_0979_0109_cat.fits.gz,dbb46a8e7c9ac8b676de38304feef9c2622d52b25c200fe3ca598e1949fb0263
20260420,20260420:0845:0003,0845,1,3,normal,matched,monotonic_minimum_total_absolute_time_residual,2026-04-20T13:05:35Z,2026-04-20T13:31:27.695000Z,l2_obs_time_utc,1552.695,OBJ_MP_0845_0110.fits,0110,OBJ_MP_0845_0110_cat.fits.gz,dbb46a8e7c9ac8b676de38304feef9c2622d52b25c200fe3ca598e1949fb0263
20260420,20260420:0711:0003,0711,1,3,normal,matched,monotonic_minimum_total_absolute_time_residual,2026-04-20T13:06:55Z,2026-04-20T13:32:42.277000Z,l2_obs_time_utc,1547.277,OBJ_MP_0711_0111.fits,0111,OBJ_MP_0711_0111_cat.fits.gz,dbb46a8e7c9ac8b676de38304feef9c2622d52b25c200fe3ca598e1949fb0263
20260420,20260420:1115:0003,1115,1,3,normal,matched,monotonic_minimum_total_absolute_time_residual,2026-04-20T13:08:15Z,2026-04-20T13:34:12.173000Z,l2_obs_time_utc,1557.173,OBJ_MP_1115_0112.fits,0112,OBJ_MP_1115_0112_cat.fits.gz,dbb46a8e7c9ac8b676de38304feef9c2622d52b25c200fe3ca598e1949fb0263
20260420,20260420:1249:0003,1249,1,3,normal,matched,monotonic_minimum_total_absolute_time_residual,2026-04-20T13:09:35Z,2026-04-20T13:35:25.800000Z,l2_obs_time_utc,1550.8,OBJ_MP_1249_0113.fits,0113,OBJ_MP_1249_0113_cat.fits.gz,dbb46a8e7c9ac8b676de38304feef9c2622d52b25c200fe3ca598e1949fb0263
20260420,20260420:0980:0003,0980,1,3,normal,matched,monotonic_minimum_total_absolute_time_residual,2026-04-20T13:10:55Z,2026-04-20T13:36:48.542000Z,l2_obs_time_utc,1553.542,OBJ_MP_0980_0114.fits,0114,OBJ_MP_0980_0114_cat.fits.gz,dbb46a8e7c9ac8b676de38304feef9c2622d52b25c200fe3ca598e1949fb0263
20260420,20260420:1383:0003,1383,1,3,normal,matched,monotonic_minimum_total_absolute_time_residual,2026-04-20T13:12:15Z,2026-04-20T13:38:17.350000Z,l2_obs_time_utc,1562.35,OBJ_MP_1383_0115.fits,0115,OBJ_MP_1383_0115_cat.fits.gz,dbb46a8e7c9ac8b676de38304feef9c2622d52b25c200fe3ca598e1949fb0263
20260420,20260420:0846:0003,0846,1,3,normal,matched,monotonic_minimum_total_absolute_time_residual,2026-04-20T13:13:35Z,2026-04-20T13:39:53.471000Z,l2_obs_time_utc,1578.471,OBJ_MP_0846_0116.fits,0116,OBJ_MP_0846_0116_cat.fits.gz,dbb46a8e7c9ac8b676de38304feef9c2622d52b25c200fe3ca598e1949fb0263
20260420,20260420:0712:0003,0712,1,3,normal,matched,monotonic_minimum_total_absolute_time_residual,2026-04-20T13:14:55Z,2026-04-20T13:41:09.443000Z,l2_obs_time_utc,1574.443,OBJ_MP_0712_0117.fits,0117,OBJ_MP_0712_0117_cat.fits.gz,dbb46a8e7c9ac8b676de38304feef9c2622d52b25c200fe3ca598e1949fb0263
20260420,20260420:1116:0003,1116,1,3,normal,matched,monotonic_minimum_total_absolute_time_residual,2026-04-20T13:16:15Z,2026-04-20T13:42:38.298000Z,l2_obs_time_utc,1583.298,OBJ_MP_1116_0118.fits,0118,OBJ_MP_1116_0118_cat.fits.gz,dbb46a8e7c9ac8b676de38304feef9c2622d52b25c200fe3ca598e1949fb0263
20260420,20260420:1250:0003,1250,1,3,normal,matched,monotonic_minimum_total_absolute_time_residual,2026-04-20T13:17:35Z,2026-04-20T13:43:53.368000Z,l2_obs_time_utc,1578.368,OBJ_MP_1250_0119.fits,0119,OBJ_MP_1250_0119_cat.fits.gz,dbb46a8e7c9ac8b676de38304feef9c2622d52b25c200fe3ca598e1949fb0263
20260420,20260420:0981:0003,0981,1,3,normal,matched,monotonic_minimum_total_absolute_time_residual,2026-04-20T13:18:55Z,2026-04-20T13:45:16.455000Z,l2_obs_time_utc,1581.455,OBJ_MP_0981_0120.fits,0120,OBJ_MP_0981_0120_cat.fits.gz,dbb46a8e7c9ac8b676de38304feef9c2622d52b25c200fe3ca598e1949fb0263
20260420,20260420:0847:0003,0847,1,3,normal,matched,monotonic_minimum_total_absolute_time_residual,2026-04-20T13:20:15Z,2026-04-20T13:46:31.360000Z,l2_obs_time_utc,1576.36,OBJ_MP_0847_0121.fits,0121,OBJ_MP_0847_0121_cat.fits.gz,dbb46a8e7c9ac8b676de38304feef9c2622d52b25c200fe3ca598e1949fb0263
20260420,20260420:1384:0003,1384,1,3,normal,matched,monotonic_minimum_total_absolute_time_residual,2026-04-20T13:21:35Z,2026-04-20T13:48:06.141000Z,l2_obs_time_utc,1591.141,OBJ_MP_1384_0122.fits,0122,OBJ_MP_1384_0122_cat.fits.gz,dbb46a8e7c9ac8b676de38304feef9c2622d52b25c200fe3ca598e1949fb0263
20260420,20260420:0713:0003,0713,1,3,normal,matched,monotonic_minimum_total_absolute_time_residual,2026-04-20T13:22:55Z,2026-04-20T13:49:47.480000Z,l2_obs_time_utc,1612.48,OBJ_MP_0713_0123.fits,0123,OBJ_MP_0713_0123_cat.fits.gz,dbb46a8e7c9ac8b676de38304feef9c2622d52b25c200fe3ca598e1949fb0263
20260420,20260420:1517:0003,1517,1,3,normal,matched,monotonic_minimum_total_absolute_time_residual,2026-04-20T13:24:15Z,2026-04-20T13:51:31.526000Z,l2_obs_time_utc,1636.526,OBJ_MP_1517_0124.fits,0124,OBJ_MP_1517_0124_cat.fits.gz,dbb46a8e7c9ac8b676de38304feef9c2622d52b25c200fe3ca598e1949fb0263
20260420,20260420:1117:0003,1117,1,3,normal,matched,monotonic_minimum_total_absolute_time_residual,2026-04-20T13:25:35Z,2026-04-20T13:53:02.230000Z,l2_obs_time_utc,1647.23,OBJ_MP_1117_0125.fits,0125,OBJ_MP_1117_0125_cat.fits.gz,dbb46a8e7c9ac8b676de38304feef9c2622d52b25c200fe3ca598e1949fb0263
20260420,20260420:0855:0001,0855,2,1,normal,matched,monotonic_minimum_total_absolute_time_residual,2026-04-20T13:26:55Z,2026-04-20T13:54:44.877000Z,l2_obs_time_utc,1669.877,OBJ_MP_0855_0126.fits,0126,OBJ_MP_0855_0126_cat.fits.gz,dbb46a8e7c9ac8b676de38304feef9c2622d52b25c200fe3ca598e1949fb0263
20260420,20260420:0721:0001,0721,2,1,normal,matched,monotonic_minimum_total_absolute_time_residual,2026-04-20T13:28:15Z,2026-04-20T13:56:00.277000Z,l2_obs_time_utc,1665.277,OBJ_MP_0721_0127.fits,0127,OBJ_MP_0721_0127_cat.fits.gz,dbb46a8e7c9ac8b676de38304feef9c2622d52b25c200fe3ca598e1949fb0263
20260420,20260420:0588:0001,0588,2,1,normal,matched,monotonic_minimum_total_absolute_time_residual,2026-04-20T13:29:35Z,2026-04-20T13:57:15.837000Z,l2_obs_time_utc,1660.837,OBJ_MP_0588_0128.fits,0128,OBJ_MP_0588_0128_cat.fits.gz,dbb46a8e7c9ac8b676de38304feef9c2622d52b25c200fe3ca598e1949fb0263
20260420,20260420:0990:0001,0990,2,1,normal,matched,monotonic_minimum_total_absolute_time_residual,2026-04-20T13:30:55Z,2026-04-20T13:58:46.651000Z,l2_obs_time_utc,1671.651,OBJ_MP_0990_0129.fits,0129,OBJ_MP_0990_0129_cat.fits.gz,dbb46a8e7c9ac8b676de38304feef9c2622d52b25c200fe3ca598e1949fb0263
20260420,20260420:1125:0001,1125,2,1,normal,matched,monotonic_minimum_total_absolute_time_residual,2026-04-20T13:32:15Z,2026-04-20T14:00:02.924000Z,l2_obs_time_utc,1667.924,OBJ_MP_1125_0130.fits,0130,OBJ_MP_1125_0130_cat.fits.gz,dbb46a8e7c9ac8b676de38304feef9c2622d52b25c200fe3ca598e1949fb0263
20260420,20260420:0856:0001,0856,2,1,normal,matched,monotonic_minimum_total_absolute_time_residual,2026-04-20T13:33:35Z,2026-04-20T14:01:26.546000Z,l2_obs_time_utc,1671.546,OBJ_MP_0856_0131.fits,0131,OBJ_MP_0856_0131_cat.fits.gz,dbb46a8e7c9ac8b676de38304feef9c2622d52b25c200fe3ca598e1949fb0263
20260420,20260420:0722:0001,0722,2,1,normal,matched,monotonic_minimum_total_absolute_time_residual,2026-04-20T13:34:55Z,2026-04-20T14:02:41.135000Z,l2_obs_time_utc,1666.135,OBJ_MP_0722_0132.fits,0132,OBJ_MP_0722_0132_cat.fits.gz,dbb46a8e7c9ac8b676de38304feef9c2622d52b25c200fe3ca598e1949fb0263
20260420,20260420:0589:0001,0589,2,1,normal,matched,monotonic_minimum_total_absolute_time_residual,2026-04-20T13:36:15Z,2026-04-20T14:03:57.926000Z,l2_obs_time_utc,1662.926,OBJ_MP_0589_0133.fits,0133,OBJ_MP_0589_0133_cat.fits.gz,dbb46a8e7c9ac8b676de38304feef9c2622d52b25c200fe3ca598e1949fb0263
