dra_bin_center_arcsec,ddec_bin_center_arcsec,matched_n
-0.9125000000000001,0.5625000000000001,0
-0.9125000000000001,0.5875000000000001,0
-0.9125000000000001,0.6125,0
-0.9125000000000001,0.6375000000000001,0
-0.9125000000000001,0.6625000000000001,0
-0.9125000000000001,0.6875000000000001,0
-0.9125000000000001,0.7125000000000001,0
-0.9125000000000001,0.7375,0
-0.9125000000000001,0.7625000000000001,0
-0.9125000000000001,0.7875000000000001,0
-0.9125000000000001,0.8125000000000001,0
-0.9125000000000001,0.8375000000000001,0
-0.9125000000000001,0.8625,0
-0.9125000000000001,0.8875000000000001,0
-0.9125000000000001,0.9125000000000001,0
-0.9125000000000001,0.9375000000000001,0
-0.9125000000000001,0.9625000000000001,0
-0.9125000000000001,0.9875,0
-0.8875,-0.9875,0
-0.8875,-0.9624999999999999,0
-0.8875,-0.9375,0
-0.8875,-0.9125000000000001,0
-0.8875,-0.8875,0
-0.8875,-0.8625,0
-0.8875,-0.8374999999999999,0
-0.8875,-0.8125,0
-0.8875,-0.7875000000000001,0
-0.8875,-0.7625,0
-0.8875,-0.7375,0
-0.8875,-0.7124999999999999,0
-0.8875,-0.6875,0
-0.8875,-0.6625,0
-0.8875,-0.6375,0
-0.8875,-0.6125,0
-0.8875,-0.5874999999999999,0
-0.8875,-0.5625,0
-0.8875,-0.5375,0
-0.8875,-0.5125,0
-0.8875,-0.4875,0
-0.8875,-0.46249999999999997,3
-0.8875,-0.43749999999999994,7
-0.8875,-0.4124999999999999,7
-0.8875,-0.38749999999999996,9
-0.8875,-0.3625,10
-0.8875,-0.33749999999999997,15
-0.8875,-0.31249999999999994,7
-0.8875,-0.2874999999999999,7
-0.8875,-0.26249999999999996,10
-0.8875,-0.2375,11
-0.8875,-0.21249999999999997,13
-0.8875,-0.18749999999999994,9
-0.8875,-0.16249999999999992,11
-0.8875,-0.13749999999999996,11
-0.8875,-0.11249999999999999,15
-0.8875,-0.08749999999999997,18
-0.8875,-0.062499999999999944,10
-0.8875,-0.03749999999999992,14
-0.8875,-0.012499999999999956,15
-0.8875,0.012500000000000067,13
-0.8875,0.03750000000000009,8
-0.8875,0.0625,15
-0.8875,0.08750000000000002,18
-0.8875,0.11250000000000004,14
-0.8875,0.13750000000000007,12
-0.8875,0.1625000000000001,7
-0.8875,0.1875000000000001,5
-0.8875,0.21250000000000013,16
-0.8875,0.23750000000000004,11
-0.8875,0.26250000000000007,10
-0.8875,0.2875000000000001,9
-0.8875,0.3125000000000001,5
-0.8875,0.33750000000000013,8
-0.8875,0.36250000000000004,11
-0.8875,0.38750000000000007,11
-0.8875,0.4125000000000001,4
-0.8875,0.4375000000000001,6
-0.8875,0.46250000000000013,7
-0.8875,0.48750000000000004,0
-0.8875,0.5125000000000001,0
-0.8875,0.5375000000000001,0
-0.8875,0.5625000000000001,0
-0.8875,0.5875000000000001,0
-0.8875,0.6125,0
-0.8875,0.6375000000000001,0
-0.8875,0.6625000000000001,0
-0.8875,0.6875000000000001,0
-0.8875,0.7125000000000001,0
-0.8875,0.7375,0
-0.8875,0.7625000000000001,0
-0.8875,0.7875000000000001,0
-0.8875,0.8125000000000001,0
-0.8875,0.8375000000000001,0
-0.8875,0.8625,0
-0.8875,0.8875000000000001,0
-0.8875,0.9125000000000001,0
-0.8875,0.9375000000000001,0
-0.8875,0.9625000000000001,0
-0.8875,0.9875,0
-0.8625,-0.9875,0
-0.8625,-0.9624999999999999,0
-0.8625,-0.9375,0
-0.8625,-0.9125000000000001,0
-0.8625,-0.8875,0
-0.8625,-0.8625,0
-0.8625,-0.8374999999999999,0
-0.8625,-0.8125,0
-0.8625,-0.7875000000000001,0
-0.8625,-0.7625,0
-0.8625,-0.7375,0
-0.8625,-0.7124999999999999,0
-0.8625,-0.6875,0
-0.8625,-0.6625,0
-0.8625,-0.6375,0
-0.8625,-0.6125,0
-0.8625,-0.5874999999999999,0
-0.8625,-0.5625,0
-0.8625,-0.5375,0
-0.8625,-0.5125,4
-0.8625,-0.4875,8
-0.8625,-0.46249999999999997,7
-0.8625,-0.43749999999999994,10
-0.8625,-0.4124999999999999,7
-0.8625,-0.38749999999999996,9
-0.8625,-0.3625,10
-0.8625,-0.33749999999999997,6
-0.8625,-0.31249999999999994,15
-0.8625,-0.2874999999999999,12
-0.8625,-0.26249999999999996,15
-0.8625,-0.2375,10
-0.8625,-0.21249999999999997,16
-0.8625,-0.18749999999999994,7
-0.8625,-0.16249999999999992,16
-0.8625,-0.13749999999999996,16
-0.8625,-0.11249999999999999,7
-0.8625,-0.08749999999999997,9
-0.8625,-0.062499999999999944,11
-0.8625,-0.03749999999999992,16
-0.8625,-0.012499999999999956,13
-0.8625,0.012500000000000067,13
-0.8625,0.03750000000000009,10
-0.8625,0.0625,15
-0.8625,0.08750000000000002,14
-0.8625,0.11250000000000004,10
-0.8625,0.13750000000000007,18
-0.8625,0.1625000000000001,12
-0.8625,0.1875000000000001,21
-0.8625,0.21250000000000013,8
-0.8625,0.23750000000000004,13
-0.8625,0.26250000000000007,8
-0.8625,0.2875000000000001,7
-0.8625,0.3125000000000001,9
-0.8625,0.33750000000000013,17
-0.8625,0.36250000000000004,5
-0.8625,0.38750000000000007,10
-0.8625,0.4125000000000001,3
-0.8625,0.4375000000000001,13
-0.8625,0.46250000000000013,11
-0.8625,0.48750000000000004,7
-0.8625,0.5125000000000001,1
-0.8625,0.5375000000000001,0
-0.8625,0.5625000000000001,0
-0.8625,0.5875000000000001,0
-0.8625,0.6125,0
-0.8625,0.6375000000000001,0
-0.8625,0.6625000000000001,0
-0.8625,0.6875000000000001,0
-0.8625,0.7125000000000001,0
-0.8625,0.7375,0
-0.8625,0.7625000000000001,0
-0.8625,0.7875000000000001,0
-0.8625,0.8125000000000001,0
-0.8625,0.8375000000000001,0
-0.8625,0.8625,0
-0.8625,0.8875000000000001,0
-0.8625,0.9125000000000001,0
-0.8625,0.9375000000000001,0
-0.8625,0.9625000000000001,0
-0.8625,0.9875,0
-0.8374999999999999,-0.9875,0
-0.8374999999999999,-0.9624999999999999,0
-0.8374999999999999,-0.9375,0
-0.8374999999999999,-0.9125000000000001,0
-0.8374999999999999,-0.8875,0
-0.8374999999999999,-0.8625,0
-0.8374999999999999,-0.8374999999999999,0
-0.8374999999999999,-0.8125,0
-0.8374999999999999,-0.7875000000000001,0
-0.8374999999999999,-0.7625,0
-0.8374999999999999,-0.7375,0
-0.8374999999999999,-0.7124999999999999,0
-0.8374999999999999,-0.6875,0
-0.8374999999999999,-0.6625,0
-0.8374999999999999,-0.6375,0
-0.8374999999999999,-0.6125,0
-0.8374999999999999,-0.5874999999999999,0
-0.8374999999999999,-0.5625,1
-0.8374999999999999,-0.5375,5
-0.8374999999999999,-0.5125,7
-0.8374999999999999,-0.4875,6
-0.8374999999999999,-0.46249999999999997,8
-0.8374999999999999,-0.43749999999999994,11
-0.8374999999999999,-0.4124999999999999,8
-0.8374999999999999,-0.38749999999999996,13
-0.8374999999999999,-0.3625,15
-0.8374999999999999,-0.33749999999999997,8
-0.8374999999999999,-0.31249999999999994,13
-0.8374999999999999,-0.2874999999999999,18
-0.8374999999999999,-0.26249999999999996,13
-0.8374999999999999,-0.2375,23
-0.8374999999999999,-0.21249999999999997,8
-0.8374999999999999,-0.18749999999999994,14
-0.8374999999999999,-0.16249999999999992,18
-0.8374999999999999,-0.13749999999999996,13
-0.8374999999999999,-0.11249999999999999,24
-0.8374999999999999,-0.08749999999999997,16
-0.8374999999999999,-0.062499999999999944,13
-0.8374999999999999,-0.03749999999999992,16
-0.8374999999999999,-0.012499999999999956,10
-0.8374999999999999,0.012500000000000067,19
-0.8374999999999999,0.03750000000000009,16
-0.8374999999999999,0.0625,8
-0.8374999999999999,0.08750000000000002,14
-0.8374999999999999,0.11250000000000004,12
-0.8374999999999999,0.13750000000000007,11
-0.8374999999999999,0.1625000000000001,8
-0.8374999999999999,0.1875000000000001,7
-0.8374999999999999,0.21250000000000013,7
-0.8374999999999999,0.23750000000000004,12
-0.8374999999999999,0.26250000000000007,11
-0.8374999999999999,0.2875000000000001,11
-0.8374999999999999,0.3125000000000001,11
-0.8374999999999999,0.33750000000000013,10
-0.8374999999999999,0.36250000000000004,8
-0.8374999999999999,0.38750000000000007,18
-0.8374999999999999,0.4125000000000001,9
-0.8374999999999999,0.4375000000000001,7
-0.8374999999999999,0.46250000000000013,8
-0.8374999999999999,0.48750000000000004,8
-0.8374999999999999,0.5125000000000001,9
-0.8374999999999999,0.5375000000000001,7
-0.8374999999999999,0.5625000000000001,0
-0.8374999999999999,0.5875000000000001,0
-0.8374999999999999,0.6125,0
-0.8374999999999999,0.6375000000000001,0
-0.8374999999999999,0.6625000000000001,0
-0.8374999999999999,0.6875000000000001,0
-0.8374999999999999,0.7125000000000001,0
-0.8374999999999999,0.7375,0
-0.8374999999999999,0.7625000000000001,0
-0.8374999999999999,0.7875000000000001,0
-0.8374999999999999,0.8125000000000001,0
-0.8374999999999999,0.8375000000000001,0
-0.8374999999999999,0.8625,0
-0.8374999999999999,0.8875000000000001,0
-0.8374999999999999,0.9125000000000001,0
-0.8374999999999999,0.9375000000000001,0
-0.8374999999999999,0.9625000000000001,0
-0.8374999999999999,0.9875,0
-0.8125,-0.9875,0
-0.8125,-0.9624999999999999,0
-0.8125,-0.9375,0
-0.8125,-0.9125000000000001,0
-0.8125,-0.8875,0
-0.8125,-0.8625,0
-0.8125,-0.8374999999999999,0
-0.8125,-0.8125,0
-0.8125,-0.7875000000000001,0
-0.8125,-0.7625,0
-0.8125,-0.7375,0
-0.8125,-0.7124999999999999,0
-0.8125,-0.6875,0
-0.8125,-0.6625,0
-0.8125,-0.6375,0
-0.8125,-0.6125,0
-0.8125,-0.5874999999999999,5
-0.8125,-0.5625,5
-0.8125,-0.5375,9
-0.8125,-0.5125,8
-0.8125,-0.4875,8
-0.8125,-0.46249999999999997,17
-0.8125,-0.43749999999999994,7
-0.8125,-0.4124999999999999,7
-0.8125,-0.38749999999999996,14
-0.8125,-0.3625,13
-0.8125,-0.33749999999999997,18
-0.8125,-0.31249999999999994,14
-0.8125,-0.2874999999999999,17
-0.8125,-0.26249999999999996,8
-0.8125,-0.2375,15
-0.8125,-0.21249999999999997,14
-0.8125,-0.18749999999999994,14
-0.8125,-0.16249999999999992,16
-0.8125,-0.13749999999999996,17
-0.8125,-0.11249999999999999,18
-0.8125,-0.08749999999999997,19
-0.8125,-0.062499999999999944,17
-0.8125,-0.03749999999999992,14
-0.8125,-0.012499999999999956,13
-0.8125,0.012500000000000067,16
-0.8125,0.03750000000000009,18
-0.8125,0.0625,17
-0.8125,0.08750000000000002,17
-0.8125,0.11250000000000004,7
-0.8125,0.13750000000000007,25
-0.8125,0.1625000000000001,18
-0.8125,0.1875000000000001,14
-0.8125,0.21250000000000013,21
-0.8125,0.23750000000000004,11
-0.8125,0.26250000000000007,16
-0.8125,0.2875000000000001,15
-0.8125,0.3125000000000001,13
-0.8125,0.33750000000000013,12
-0.8125,0.36250000000000004,8
-0.8125,0.38750000000000007,10
-0.8125,0.4125000000000001,11
-0.8125,0.4375000000000001,6
-0.8125,0.46250000000000013,9
-0.8125,0.48750000000000004,13
-0.8125,0.5125000000000001,6
-0.8125,0.5375000000000001,13
-0.8125,0.5625000000000001,8
-0.8125,0.5875000000000001,5
-0.8125,0.6125,0
-0.8125,0.6375000000000001,0
-0.8125,0.6625000000000001,0
-0.8125,0.6875000000000001,0
-0.8125,0.7125000000000001,0
-0.8125,0.7375,0
-0.8125,0.7625000000000001,0
-0.8125,0.7875000000000001,0
-0.8125,0.8125000000000001,0
-0.8125,0.8375000000000001,0
-0.8125,0.8625,0
-0.8125,0.8875000000000001,0
-0.8125,0.9125000000000001,0
-0.8125,0.9375000000000001,0
-0.8125,0.9625000000000001,0
-0.8125,0.9875,0
-0.7875000000000001,-0.9875,0
-0.7875000000000001,-0.9624999999999999,0
-0.7875000000000001,-0.9375,0
-0.7875000000000001,-0.9125000000000001,0
-0.7875000000000001,-0.8875,0
-0.7875000000000001,-0.8625,0
-0.7875000000000001,-0.8374999999999999,0
-0.7875000000000001,-0.8125,0
-0.7875000000000001,-0.7875000000000001,0
-0.7875000000000001,-0.7625,0
-0.7875000000000001,-0.7375,0
-0.7875000000000001,-0.7124999999999999,0
-0.7875000000000001,-0.6875,0
-0.7875000000000001,-0.6625,0
-0.7875000000000001,-0.6375,0
