night,field_id,cycle_id,repeat,mode,pair_id,match_status,planned_start_utc,actual_start_utc,planned_elapsed_from_repeat1_min,actual_elapsed_from_matched_repeat1_min,planned_interval_from_previous_repeat_min,actual_interval_from_previous_available_repeat_min,actual_repeat1_anchor_available,input_manifest_hash
20260420,0981,1,3,normal,20260420:0981:0003,matched,2026-04-20T13:18:55Z,2026-04-20T13:45:16.455000Z,60.0,61.84481666666667,30.0,30.976666666666667,True,dbb46a8e7c9ac8b676de38304feef9c2622d52b25c200fe3ca598e1949fb0263
20260420,0847,1,1,normal,20260420:0847:0001,matched,2026-04-20T12:20:15Z,2026-04-20T12:44:40.681000Z,0.0,0.0,,,True,dbb46a8e7c9ac8b676de38304feef9c2622d52b25c200fe3ca598e1949fb0263
20260420,0847,1,2,normal,20260420:0847:0002,matched,2026-04-20T12:50:15Z,2026-04-20T13:15:33.046000Z,30.0,30.87275,30.0,30.87275,True,dbb46a8e7c9ac8b676de38304feef9c2622d52b25c200fe3ca598e1949fb0263
20260420,0847,1,3,normal,20260420:0847:0003,matched,2026-04-20T13:20:15Z,2026-04-20T13:46:31.360000Z,60.0,61.84465,30.0,30.9719,True,dbb46a8e7c9ac8b676de38304feef9c2622d52b25c200fe3ca598e1949fb0263
20260420,1384,1,1,normal,20260420:1384:0001,matched,2026-04-20T12:21:35Z,2026-04-20T12:46:15.375000Z,0.0,0.0,,,True,dbb46a8e7c9ac8b676de38304feef9c2622d52b25c200fe3ca598e1949fb0263
20260420,1384,1,2,normal,20260420:1384:0002,matched,2026-04-20T12:51:35Z,2026-04-20T13:17:07.674000Z,30.0,30.87165,30.0,30.87165,True,dbb46a8e7c9ac8b676de38304feef9c2622d52b25c200fe3ca598e1949fb0263
20260420,1384,1,3,normal,20260420:1384:0003,matched,2026-04-20T13:21:35Z,2026-04-20T13:48:06.141000Z,60.0,61.8461,30.0,30.97445,True,dbb46a8e7c9ac8b676de38304feef9c2622d52b25c200fe3ca598e1949fb0263
20260420,0713,1,1,normal,20260420:0713:0001,matched,2026-04-20T12:22:55Z,2026-04-20T12:47:55.553000Z,0.0,0.0,,,True,dbb46a8e7c9ac8b676de38304feef9c2622d52b25c200fe3ca598e1949fb0263
20260420,0713,1,2,normal,20260420:0713:0002,matched,2026-04-20T12:52:55Z,2026-04-20T13:18:47.764000Z,30.0,30.870183333333333,30.0,30.870183333333333,True,dbb46a8e7c9ac8b676de38304feef9c2622d52b25c200fe3ca598e1949fb0263
20260420,0713,1,3,normal,20260420:0713:0003,matched,2026-04-20T13:22:55Z,2026-04-20T13:49:47.480000Z,60.0,61.86545,30.0,30.995266666666666,True,dbb46a8e7c9ac8b676de38304feef9c2622d52b25c200fe3ca598e1949fb0263
20260420,1517,1,1,normal,20260420:1517:0001,matched,2026-04-20T12:24:15Z,2026-04-20T12:49:40.308000Z,0.0,0.0,,,True,dbb46a8e7c9ac8b676de38304feef9c2622d52b25c200fe3ca598e1949fb0263
20260420,1517,1,2,normal,20260420:1517:0002,matched,2026-04-20T12:54:15Z,2026-04-20T13:20:32.397000Z,30.0,30.86815,30.0,30.86815,True,dbb46a8e7c9ac8b676de38304feef9c2622d52b25c200fe3ca598e1949fb0263
20260420,1517,1,3,normal,20260420:1517:0003,matched,2026-04-20T13:24:15Z,2026-04-20T13:51:31.526000Z,60.0,61.85363333333333,30.0,30.98548333333333,True,dbb46a8e7c9ac8b676de38304feef9c2622d52b25c200fe3ca598e1949fb0263
20260420,1117,1,1,normal,20260420:1117:0001,matched,2026-04-20T12:25:35Z,2026-04-20T12:51:11.355000Z,0.0,0.0,,,True,dbb46a8e7c9ac8b676de38304feef9c2622d52b25c200fe3ca598e1949fb0263
20260420,1117,1,2,normal,20260420:1117:0002,matched,2026-04-20T12:55:35Z,2026-04-20T13:22:04.420000Z,30.0,30.884416666666667,30.0,30.884416666666667,True,dbb46a8e7c9ac8b676de38304feef9c2622d52b25c200fe3ca598e1949fb0263
20260420,1117,1,3,normal,20260420:1117:0003,matched,2026-04-20T13:25:35Z,2026-04-20T13:53:02.230000Z,60.0,61.84791666666667,30.0,30.9635,True,dbb46a8e7c9ac8b676de38304feef9c2622d52b25c200fe3ca598e1949fb0263
20260420,0855,2,1,normal,20260420:0855:0001,matched,2026-04-20T13:26:55Z,2026-04-20T13:54:44.877000Z,0.0,0.0,,,True,dbb46a8e7c9ac8b676de38304feef9c2622d52b25c200fe3ca598e1949fb0263
20260420,0855,2,2,normal,20260420:0855:0002,matched,2026-04-20T13:56:55Z,2026-04-20T14:26:10.689000Z,30.0,31.4302,30.0,31.4302,True,dbb46a8e7c9ac8b676de38304feef9c2622d52b25c200fe3ca598e1949fb0263
