night,quality_code,unknown_science_included,unknown_mpc_state,tracklet_stage_state,l2_detection_n,mag_flag_prefilter_detection_n,gaia_survivor_n,grouped_gaia_input_detection_n,common_area_survivor_detection_n,edge_shell_survivor_detection_n,static_survivor_detection_n,tracklet_n,link_n,orbit_fit_n,orbit_is_good_n,orbit_fit_non_known_n,orbit_is_good_non_known_n,unknown_n,review_real_n,submit_real_n,audit_initial_n,audit_real_n,night_group,quality_group,postknown_unique_detection_n,retained_unique_detection_n,postknown_membership_n,postknown_unique_tracklet_n,retained_unique_tracklet_n,submission_derived_n,postaudit_derived_n
20260120,quality_ok,True,catalog_nonempty,ok,14768533,11320409,373090,248247,248247,212438,74316,3821,290,280,280,11,11,11,0,0,0,0,normal,included,33,0,33,22,0,0,0
20260121,quality_ok,True,catalog_nonempty,ok,17456261,13039018,476264,459913,459913,406304,109528,9635,1327,1289,1289,65,65,65,0,0,0,0,normal,included,194,0,195,130,0,0,0
20260122,quality_ok,True,catalog_nonempty,ok,13621391,10987079,503199,485691,485691,431246,116765,10944,1234,1199,1199,49,49,49,0,0,0,0,normal,included,144,0,147,98,0,0,0
20260123,quality_ok,True,catalog_nonempty,ok,15241157,12163062,455634,437556,437556,380889,108359,9685,1200,1163,1163,36,36,36,0,0,0,0,normal,included,107,0,108,72,0,0,0
20260124,quality_ok,True,catalog_nonempty,ok,33372891,23649678,348747,347510,347510,281547,107853,8699,926,926,926,45,45,45,0,0,0,0,normal,included,135,0,135,90,0,0,0
20260125,no_strict_raw,True,not_run,missing,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,not_run,included,0,0,0,0,0,0,0
20260126,quality_ok,True,catalog_nonempty,ok,16900766,13538603,457719,424637,424637,362449,90292,10141,1279,1279,1279,55,55,55,0,0,0,0,normal,included,157,0,165,110,0,0,0
20260127,quality_ok,True,catalog_nonempty,ok,10097690,8101829,119972,111062,111062,69215,37648,3370,186,185,185,4,4,4,0,0,0,0,normal,included,12,0,12,8,0,0,0
20260128,quality_ok,True,true_zero_catalog,ok,2230668,1868170,9896,2869,2869,1261,1022,27,0,0,0,0,0,0,0,0,0,0,true_zero_catalog,included,0,0,0,0,0,0,0
20260129,quality_ok,True,catalog_nonempty,ok,9236465,7790218,77194,74110,74110,39525,25961,3126,209,209,209,18,18,18,0,0,0,0,normal,included,54,0,54,36,0,0,0
20260130,no_strict_raw,True,not_run,missing,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,not_run,included,0,0,0,0,0,0,0
20260131,quality_ok,True,catalog_nonempty,ok,3867489,3421184,108144,92998,92998,62619,24417,2271,222,213,213,6,6,6,0,0,0,0,normal,included,18,0,18,12,0,0,0
20260201,quality_ok,True,catalog_nonempty,ok,2835825,2402179,77053,54052,54052,29957,18837,3044,134,134,134,17,17,17,0,0,0,0,normal,included,51,0,51,34,0,0,0
20260202,quality_ok,True,catalog_nonempty,ok,11097611,9318742,149573,149573,149573,86405,49561,7525,520,517,517,54,54,54,0,0,0,0,normal,included,162,0,162,108,0,0,0
20260203,no_strict_raw,True,not_run,missing,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,not_run,included,0,0,0,0,0,0,0
20260204,no_strict_raw,True,not_run,missing,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,not_run,included,0,0,0,0,0,0,0
20260205,quality_ok,True,reply_received,ok,18586281,12368743,200034,196820,196820,163570,80090,3764,178,178,178,14,14,14,2,2,2,2,normal,included,42,6,42,28,4,2,2
20260206,quality_ok,True,reply_received,ok,19172615,12824726,168323,166529,166529,135761,60016,3273,299,299,299,14,14,14,1,1,1,1,normal,included,42,3,42,28,2,1,1
20260207,quality_ok,True,reply_received,ok,24646506,17316845,341774,332691,332691,277948,100681,8024,977,977,977,51,51,51,6,6,6,6,normal,included,151,18,153,102,12,6,6
