field_id,exposure_n,night_n,first_night,last_night,open_shutter_s,center_ra_deg,center_dec_deg,nominal_pixel_n_nside512
1364,37,16,20251119,20260223,1110.0,92.11019942085667,31.661553909251264,777
1375,37,13,20251128,20260218,1110.0,125.81307344697741,27.840971786065943,759
1376,37,14,20251128,20260306,1110.0,128.73616842445088,27.190445229343208,759
1377,37,14,20251201,20260306,1110.0,131.6293498129844,26.4973877350939,759
1386,37,13,20251228,20260430,1110.0,156.34047893835924,18.718756156677426,759
1472,37,14,20251115,20260126,1110.0,17.154794063093863,19.094319630658326,777
1476,37,13,20251115,20260117,1110.0,27.785395941772315,23.091209672450606,758
1477,37,13,20251115,20260120,1110.0,30.51243789252334,24.036646575933254,760
1516,37,15,20251206,20260429,1110.0,149.12754338268138,24.16060620716868,758
1612,37,13,20251119,20260120,1110.0,36.95057543833939,28.950626713938625,777
1617,37,12,20251210,20260120,1110.0,51.859793295795015,32.851657655743885,772
0051,36,12,20251205,20260311,1080.0,137.49295791424223,-3.0721295151407393,772
0152,36,14,20251213,20260220,1080.0,66.16203884773267,5.579306827618635,755
0170,36,12,20251127,20260213,1080.0,114.38517574534113,5.484627235589568,772
0282,36,14,20251213,20260220,1080.0,63.623112060915865,7.84941459110499,776
0303,36,12,20251205,20260303,1080.0,120.13138230667509,7.114492195133696,772
0409,36,15,20251208,20260218,1080.0,50.65342601833876,7.692404011357969,756
0426,36,13,20260114,20260306,1080.0,96.54358920099469,12.803044747633079,738
0554,36,16,20260108,20260330,1080.0,83.44735620126202,15.480586032905295,777
0579,36,13,20251230,20260429,1080.0,150.34004021586526,3.7773637938668254,756
0689,36,13,20260110,20260330,1080.0,87.07311677981376,18.271942883349066,759
0696,36,14,20251204,20260220,1080.0,106.71094079745151,17.377115576430498,757
0698,36,11,20251204,20260306,1080.0,112.25158672872517,16.665236274202858,758
0703,36,10,20251215,20260303,1080.0,125.85189463762393,14.076785769853606,775
0934,36,13,20251115,20260126,1080.0,20.936110566197687,9.033301517797527,755
0987,36,15,20251230,20260403,1080.0,165.68545586333843,6.346862306854883,755
1075,36,15,20251119,20260120,1080.0,34.13240829327036,16.7288044017757,777
1076,36,14,20251121,20260120,1080.0,36.77813601410568,17.595755894625935,777
1077,36,12,20251121,20260123,1080.0,39.446830010055834,18.433157736879703,759
1083,36,15,20251213,20260222,1080.0,55.96265972838829,22.721960522114856,778
