night,raw_exposure_n,unique_field_n,cumulative_exposure_n,cumulative_open_shutter_hours,cumulative_unique_field_n,cumulative_healpix_pixel_n,cumulative_area_deg2
20260404,74,26,34562,288.01666666666665,1319,730594,9580.982834834487
20260405,115,40,34677,288.975,1319,730594,9580.982834834487
20260406,387,105,35064,292.2,1320,730942,9585.546494030323
20260407,380,93,35444,295.3666666666667,1320,730942,9585.546494030323
20260410,235,83,35679,297.325,1322,731681,9595.237712839871
20260411,149,52,35828,298.56666666666666,1322,731681,9595.237712839871
20260412,27,22,35855,298.7916666666667,1322,731681,9595.237712839871
20260413,107,44,35962,299.68333333333334,1322,731681,9595.237712839871
20260414,107,44,36069,300.575,1322,731681,9595.237712839871
20260420,345,91,36414,303.45,1322,731681,9595.237712839871
20260422,90,32,36504,304.2,1322,731681,9595.237712839871
20260423,92,44,36596,304.96666666666664,1322,731681,9595.237712839871
20260425,104,34,36700,305.8333333333333,1322,731681,9595.237712839871
20260426,143,46,36843,307.025,1322,731681,9595.237712839871
20260427,224,64,37067,308.89166666666665,1322,731681,9595.237712839871
20260428,329,70,37396,311.6333333333333,1325,733062,9613.348096027943
20260429,298,59,37694,314.1166666666667,1344,743796,9754.113377085703
20260430,48,30,37742,314.51666666666665,1349,746442,9788.812923729902
20260503,328,87,38070,317.25,1362,754587,9895.62615404623
20260504,327,86,38397,319.975,1366,757115,9928.778253032071
20260506,147,42,38544,321.2,1366,757115,9928.778253032071
20260507,142,67,38686,322.3833333333333,1369,758335,9944.777288143909
20260508,224,54,38910,324.25,1369,758335,9944.777288143909
20260509,200,44,39110,325.9166666666667,1370,758775,9950.547431954736
20260512,240,64,39350,327.9166666666667,1370,758775,9950.547431954736
20260528,279,52,39629,330.2416666666667,1383,766185,10047.721899314341
20260529,296,54,39925,332.7083333333333,1401,776146,10178.350086813536
20260530,275,78,40200,335.0,1408,779896,10227.527448837627
20260601,298,70,40498,337.48333333333335,1419,786311,10311.65352280684
20260605,2,2,40500,337.5,1419,786311,10311.65352280684
20260611,270,68,40770,339.75,1421,787303,10324.662574307613
20260617,27,22,40797,339.975,1421,787303,10324.662574307613
20260620,227,77,41024,341.8666666666667,1430,792089,10387.42600221356
20260715,50,22,41074,342.28333333333336,1430,792089,10387.42600221356
